iteration: 13400, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00029585836455225945
iteration: 13500, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00029332644771784544
iteration: 13600, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00029079033993184566
iteration: 13700, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00028825030312873423
iteration: 13800, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00028570665745064616
iteration: 13900, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00028315960662439466
iteration: 14000, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00028060947079211473
iteration: 14100, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00027805654099211097
iteration: 14200, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.000275501050055027
iteration: 14300, loss: 0.0003, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00027294334722682834
iteration: 14400, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00027038369444198906
iteration: 14500, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002678222954273224
iteration: 14600, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00026525952853262424
iteration: 14700, loss: 0.0003, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002626956265885383
iteration: 14800, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002601308806333691
iteration: 14900, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002575655817054212
iteration: 15000, loss: 0.0003, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002550000208429992
iteration: 15100, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002524344017729163
iteration: 15200, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00024986910284496844
iteration: 15300, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002473043859936297
iteration: 15400, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00024474048404954374
iteration: 15500, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00024217768805101514
iteration: 15600, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00023961633269209415
iteration: 15700, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00023705665080342442
iteration: 15800, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00023449896252714097
iteration: 15900, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00023194347159005702
iteration: 16000, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00022939054179005325
iteration: 16100, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00022684040595777333
iteration: 16200, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00022429335513152182
iteration: 16300, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00022174970945343375
iteration: 16400, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00021920967265032232
iteration: 16500, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00021667356486432254
iteration: 16600, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00021414166258182377
iteration: 16700, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00021161424228921533
iteration: 16800, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002090915950248018
iteration: 16900, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002065739536192268
iteration: 17000, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00020406165276654065
iteration: 17100, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00020155493984930217
iteration: 17200, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00019905403314623982
iteration: 17300, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00019655931100714952
iteration: 17400, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0001940709917107597
iteration: 17500, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00019158933719154447
iteration: 17600, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0001891146384878084
iteration: 17700, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0001866472011897713
iteration: 17800, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00018418724357616156
iteration: 17900, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00018173499847762287
iteration: 18000, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00017929084424395114
iteration: 18100, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00017685497005004436
iteration: 18200, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00017442766693420708
iteration: 18300, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00017200921138282865
iteration: 18400, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00016959985077846795
iteration: 18500, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0001671998470555991
iteration: 18600, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00016480949125252664
iteration: 18700, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00016242901619989425
iteration: 18800, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00016005871293600649
iteration: 18900, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00015769877063576132
iteration: 19000, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.000155349523993209
iteration: 19100, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00015301122039090842
iteration: 19200, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.000150684078107588
iteration: 19300, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00014836841728538275
iteration: 19400, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00014606441254727542
iteration: 19500, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00014377232582774013
iteration: 19600, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00014149249182082713
iteration: 19700, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00013922508514951915
iteration: 19800, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00013697033864445984
iteration: 19900, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0001347286015516147
iteration: 20000, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00013250000483822078
iteration: 20100, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00013028483954258263
iteration: 20200, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00012808339670300484
iteration: 20300, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0001258958363905549
iteration: 20400, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00012372240598779172
iteration: 20500, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00012156344018876553
iteration: 20600, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00011941904813284054
iteration: 20700, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00011728954268619418
iteration: 20800, loss: 0.0002, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00011517517850734293
iteration: 20900, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00011307609383948147
iteration: 21000, loss: 0.0002, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00011099257972091436
iteration: 21100, loss: 0.0001, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00010892489808611572
iteration: 21200, loss: 0.0001, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0001068731871782802
iteration: 21300, loss: 0.0001, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00010483778169145808
iteration: 21400, loss: 0.0001, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00010281879076501355
iteration: 21500, loss: 0.0001, scmap loss: 0.0001, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00010081647633342072
