scorer,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
23,131.326,317.775,1.0,120.527,425.347,1.0,107.787,526.582,1.0,104.035,648.767,1.0,95.966,777.432,1.0,90.393,897.3,0.9990000128746033,91.663,1019.573,0.9980000257492065,91.021,1129.8,0.9990000128746033,94.397,1250.747,1.0,99.8,1366.165,1.0,106.329,1451.108,0.9990000128746033
24,130.372,321.709,1.0,120.465,425.825,1.0,107.73,526.494,1.0,104.05,648.98,1.0,95.844,777.525,1.0,90.564,896.479,0.9990000128746033,91.664,1019.518,0.9980000257492065,90.881,1129.788,0.9990000128746033,94.448,1250.815,1.0,99.868,1366.469,1.0,106.249,1450.9,0.9990000128746033
25,130.242,322.192,1.0,121.382,425.922,1.0,106.628,527.065,1.0,103.449,649.519,0.9990000128746033,96.15,777.812,1.0,90.609,890.483,0.9980000257492065,91.741,1013.744,1.0,90.824,1129.706,0.9990000128746033,94.472,1250.869,1.0,99.942,1366.484,1.0,106.299,1451.034,0.9990000128746033
26,130.241,322.257,1.0,121.37,426.233,1.0,106.672,527.681,1.0,103.344,649.953,0.9990000128746033,96.211,777.676,1.0,90.554,890.601,0.9980000257492065,91.939,1014.229,1.0,90.931,1129.562,0.9990000128746033,94.1,1251.987,1.0,99.908,1366.605,1.0,106.238,1450.859,0.9990000128746033
27,129.9,322.131,1.0,121.468,425.766,1.0,107.822,526.309,1.0,104.105,649.467,1.0,96.316,777.703,1.0,90.595,890.648,0.9980000257492065,91.906,1014.273,1.0,90.815,1129.621,0.9990000128746033,94.027,1251.778,1.0,99.982,1366.314,1.0,106.247,1450.892,0.9990000128746033
28,130.224,321.166,1.0,121.362,425.977,1.0,107.938,526.435,1.0,104.235,648.7,0.9990000128746033,96.371,777.267,1.0,90.567,890.384,0.9990000128746033,91.782,1014.087,1.0,90.607,1129.771,0.9990000128746033,94.06,1251.9,1.0,99.887,1366.424,1.0,106.187,1450.78,0.9990000128746033
29,130.292,322.012,1.0,121.178,425.735,1.0,106.748,526.8,1.0,104.162,648.423,1.0,97.544,776.743,1.0,90.842,890.733,0.9980000257492065,91.573,1019.61,0.9990000128746033,90.749,1129.786,0.9990000128746033,94.358,1251.166,1.0,99.88,1366.309,1.0,106.219,1450.761,0.9990000128746033
30,130.283,322.445,1.0,122.127,425.875,1.0,106.606,527.161,1.0,103.945,649.342,0.9990000128746033,96.331,777.112,1.0,90.725,890.553,0.9980000257492065,92.157,1014.627,1.0,90.71,1129.733,0.9990000128746033,94.43,1251.365,1.0,100.157,1365.57,1.0,106.315,1450.752,0.9990000128746033
31,129.624,321.826,1.0,122.313,425.805,1.0,106.513,529.822,1.0,104.452,649.35,1.0,96.189,777.46,1.0,90.587,890.552,0.9980000257492065,92.081,1014.531,1.0,90.708,1129.467,0.9990000128746033,94.331,1251.625,1.0,100.282,1364.843,1.0,106.291,1450.755,0.9990000128746033
32,129.897,321.753,1.0,121.972,426.22,1.0,106.767,529.769,1.0,104.387,649.599,0.9990000128746033,96.055,777.453,1.0,90.621,890.739,0.9980000257492065,92.171,1014.672,1.0,91.498,1130.153,0.9990000128746033,94.634,1251.163,1.0,100.378,1364.385,1.0,106.29,1450.929,0.9990000128746033
33,129.433,322.568,1.0,121.136,425.676,1.0,106.645,528.221,1.0,104.246,648.916,0.9990000128746033,96.166,776.874,1.0,90.593,890.488,0.9980000257492065,92.277,1014.239,1.0,91.568,1130.205,0.9990000128746033,94.585,1250.984,1.0,100.285,1364.478,1.0,106.274,1450.843,0.9990000128746033
34,130.615,317.107,0.9990000128746033,118.819,425.666,1.0,106.569,526.765,1.0,103.513,649.024,0.9990000128746033,96.103,776.906,1.0,90.45,897.604,0.9990000128746033,92.208,1014.346,1.0,91.738,1130.158,0.9990000128746033,94.61,1251.009,1.0,100.298,1364.551,1.0,106.271,1450.771,0.9990000128746033
35,129.042,321.285,1.0,121.029,426.607,1.0,107.163,527.641,1.0,103.556,649.379,0.9990000128746033,96.04,776.831,1.0,90.426,897.727,0.9990000128746033,92.14,1014.115,1.0,91.674,1130.159,0.9990000128746033,94.664,1251.079,1.0,100.374,1364.338,1.0,106.266,1450.767,0.9990000128746033
36,130.974,317.376,1.0,121.041,426.113,0.9990000128746033,106.883,530.032,1.0,103.269,649.648,1.0,95.94,776.864,1.0,90.396,897.128,0.9990000128746033,92.272,1014.538,1.0,91.693,1130.168,0.9990000128746033,94.714,1251.25,1.0,100.535,1363.988,1.0,106.242,1450.763,0.9990000128746033
37,129.549,322.466,1.0,121.113,426.632,0.9990000128746033,106.928,531.275,1.0,103.258,650.0,1.0,95.625,777.079,1.0,90.4,897.839,0.9990000128746033,92.041,1014.361,1.0,91.337,1126.308,1.0,94.527,1251.054,1.0,100.064,1365.739,1.0,106.275,1451.016,0.9990000128746033
