scorer,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
2052,184.851,50.933,1.0,184.808,60.846,1.0,185.843,72.053,1.0,186.002,87.65,1.0,186.608,103.714,1.0,183.266,123.134,1.0,181.496,141.477,1.0,178.398,160.671,1.0,175.974,179.949,1.0,173.243,199.561,1.0,167.829,215.825,1.0,168.73,225.424,1.0
2053,184.903,50.989,1.0,184.852,60.847,1.0,186.004,71.905,1.0,186.18,87.175,1.0,187.009,103.18,1.0,183.293,122.483,1.0,181.721,141.143,1.0,178.209,160.712,1.0,176.142,180.676,1.0,173.237,200.049,1.0,167.592,215.982,1.0,168.702,225.427,1.0
2054,185.025,51.133,1.0,184.932,60.925,1.0,186.032,72.096,1.0,186.466,87.344,1.0,186.779,103.538,1.0,183.16,122.944,1.0,181.27,141.861,1.0,178.286,160.766,1.0,176.059,180.168,1.0,173.463,199.59,1.0,167.808,215.42,1.0,168.76,225.145,1.0
2055,185.066,51.241,1.0,185.025,61.042,1.0,186.012,72.177,1.0,186.548,87.399,1.0,186.834,103.638,1.0,183.229,123.011,1.0,181.3,142.104,1.0,178.364,161.075,1.0,175.897,180.886,1.0,173.371,200.252,1.0,167.498,215.54,1.0,168.795,225.142,1.0
2056,185.102,51.382,1.0,185.038,61.174,1.0,185.96,72.381,1.0,186.735,87.385,1.0,186.96,103.492,1.0,183.34,122.838,1.0,181.329,142.011,1.0,178.393,161.385,1.0,176.057,180.885,1.0,173.593,200.708,1.0,167.66,216.093,1.0,168.934,225.348,1.0
2057,185.205,51.583,1.0,185.143,61.414,1.0,186.064,72.618,1.0,187.135,87.464,1.0,187.315,103.437,1.0,183.252,122.701,1.0,181.562,141.601,1.0,178.442,160.846,1.0,176.218,180.829,1.0,173.576,200.339,1.0,167.787,215.87,1.0,167.306,223.683,1.0
2058,185.194,51.497,1.0,185.123,61.278,1.0,186.09,72.504,1.0,187.11,87.41,1.0,187.224,103.454,1.0,183.264,122.612,1.0,181.491,141.698,1.0,178.538,160.763,1.0,176.162,180.66,1.0,173.476,200.007,1.0,167.614,215.389,1.0,168.894,225.06,1.0
2059,185.164,51.538,1.0,185.106,61.407,1.0,186.088,72.64,1.0,187.132,87.648,1.0,187.296,103.682,1.0,183.326,122.758,1.0,181.644,141.685,1.0,178.523,160.984,1.0,176.038,180.504,1.0,173.387,200.144,1.0,167.587,215.509,1.0,168.85,225.094,1.0
2060,185.156,51.501,1.0,185.029,61.242,1.0,185.988,72.575,1.0,187.247,87.568,1.0,187.271,103.649,1.0,183.039,122.673,1.0,181.263,141.816,1.0,178.202,161.343,1.0,176.097,180.835,1.0,173.348,200.752,1.0,167.819,215.897,1.0,168.671,225.148,1.0
2061,185.156,51.58,1.0,185.102,61.487,1.0,186.073,72.62,1.0,187.258,88.013,1.0,186.987,104.261,1.0,183.382,123.149,1.0,181.525,142.249,1.0,178.368,161.06,1.0,175.715,180.53,1.0,173.117,200.326,1.0,167.646,215.68,1.0,168.647,225.166,1.0
2062,185.217,51.446,1.0,185.171,61.287,1.0,186.127,72.494,1.0,187.107,87.659,1.0,186.76,104.231,1.0,183.127,123.277,1.0,181.273,142.556,1.0,178.261,161.246,1.0,175.769,180.9,1.0,173.218,200.939,1.0,167.76,216.15,1.0,168.733,225.551,1.0
2063,185.198,51.488,1.0,185.217,61.311,1.0,186.185,72.376,1.0,187.171,87.52,1.0,187.049,103.819,1.0,183.49,122.843,1.0,181.679,141.705,1.0,178.6,160.92,1.0,175.952,180.268,1.0,173.21,200.301,1.0,167.785,215.613,1.0,167.447,224.113,1.0
2064,184.909,51.115,1.0,184.848,61.228,1.0,185.894,72.289,1.0,186.506,87.928,1.0,186.125,105.006,1.0,183.848,123.95,1.0,181.457,142.847,1.0,177.859,161.151,1.0,175.601,180.252,1.0,173.054,199.951,1.0,168.34,215.482,1.0,168.748,225.48,1.0
2065,184.876,50.924,1.0,184.789,61.051,1.0,185.795,72.268,1.0,186.381,87.78,1.0,186.342,104.399,1.0,186.143,122.501,1.0,181.87,142.113,1.0,178.308,160.634,1.0,175.838,179.806,1.0,173.247,199.649,1.0,168.103,215.016,1.0,167.266,224.184,1.0
2066,184.952,50.993,1.0,184.83,61.011,1.0,185.633,72.238,1.0,186.388,87.475,1.0,186.457,103.731,1.0,183.79,122.768,1.0,181.505,141.678,1.0,178.29,160.499,1.0,176.177,179.693,1.0,173.517,199.381,1.0,168.169,214.855,1.0,167.327,223.749,1.0
2067,185.024,51.172,1.0,184.924,61.183,1.0,185.743,72.362,1.0,186.617,87.595,1.0,186.423,104.175,1.0,183.585,123.072,1.0,181.181,142.311,1.0,178.327,160.751,1.0,176.061,179.582,1.0,173.585,199.289,1.0,168.004,214.527,1.0,167.337,223.601,1.0
2068,184.961,51.121,1.0,184.798,61.115,1.0,185.787,72.253,1.0,186.452,87.587,1.0,186.515,104.028,1.0,183.56,123.034,1.0,181.2,142.214,1.0,178.4,160.736,1.0,176.087,179.613,1.0,173.54,199.155,1.0,167.848,214.418,1.0,168.328,223.589,1.0
2069,184.976,51.101,1.0,184.809,61.065,1.0,185.8,72.16,1.0,186.529,87.521,1.0,186.735,103.781,1.0,183.52,122.776,1.0,181.226,141.73,1.0,178.327,160.473,1.0,176.069,179.336,1.0,173.388,198.785,1.0,167.556,214.098,1.0,168.242,223.364,1.0
2070,185.002,51.073,1.0,184.901,61.067,1.0,185.926,72.063,1.0,186.584,87.473,1.0,186.865,103.441,1.0,183.705,122.608,1.0,181.316,141.15,1.0,177.849,159.611,1.0,175.991,179.17,1.0,173.387,198.773,1.0,167.513,214.108,1.0,168.7,224.831,1.0
2071,185.038,51.186,1.0,184.923,61.146,1.0,185.99,72.136,1.0,186.745,87.499,1.0,186.962,103.55,1.0,183.797,122.821,1.0,181.522,141.5,1.0,178.453,160.611,1.0,175.75,179.577,1.0,173.17,199.351,1.0,167.499,214.476,1.0,168.644,225.004,1.0
2072,185.025,51.148,1.0,184.919,61.066,1.0,185.966,72.013,1.0,186.709,87.348,1.0,186.939,103.437,1.0,183.775,122.681,1.0,181.385,141.817,1.0,178.409,161.054,1.0,175.856,180.596,1.0,173.212,200.47,1.0,167.797,215.442,1.0,167.391,223.803,1.0
2073,185.004,51.049,1.0,184.921,60.93,1.0,185.956,71.936,1.0,186.681,87.332,1.0,186.92,103.439,1.0,183.766,122.685,1.0,181.478,141.667,1.0,178.638,160.652,1.0,176.048,180.261,1.0,173.343,199.808,1.0,167.828,215.063,1.0,167.408,223.733,1.0
2074,184.996,51.12,1.0,184.87,60.977,1.0,185.918,72.086,1.0,186.639,87.437,1.0,186.757,103.782,1.0,183.539,123.0,1.0,181.243,142.089,1.0,178.543,160.505,1.0,175.979,179.638,1.0,173.276,199.043,1.0,167.72,214.371,1.0,167.4,223.663,1.0
2075,184.988,51.089,1.0,184.833,61.056,1.0,185.873,72.158,1.0,186.709,87.746,1.0,186.62,104.133,1.0,183.554,123.176,1.0,181.325,142.07,1.0,178.38,160.074,1.0,175.884,179.212,1.0,173.147,198.686,1.0,166.918,213.873,1.0,168.179,223.011,1.0
2076,184.956,51.114,1.0,184.814,61.206,1.0,185.933,72.472,1.0,186.542,87.955,1.0,185.939,105.04,1.0,183.699,124.121,1.0,181.638,142.578,1.0,178.24,160.312,1.0,175.719,179.222,1.0,173.114,198.416,1.0,167.194,214.38,1.0,167.761,223.01,1.0
2077,185.018,51.217,1.0,184.897,61.349,1.0,185.961,72.579,1.0,186.591,88.121,1.0,186.157,104.952,1.0,183.884,123.898,1.0,181.83,142.17,1.0,178.328,160.237,1.0,175.654,179.249,1.0,173.108,198.539,1.0,167.418,214.556,1.0,168.216,225.264,1.0
2078,185.039,51.179,1.0,184.933,61.217,1.0,185.936,72.403,1.0,186.705,87.706,1.0,186.704,104.025,1.0,183.764,123.153,1.0,181.803,141.694,1.0,178.608,160.163,1.0,175.943,179.974,1.0,173.288,199.174,1.0,167.774,214.988,1.0,168.561,225.18,1.0
2079,185.096,51.168,1.0,184.974,61.264,1.0,185.978,72.333,1.0,186.75,87.643,1.0,186.542,104.188,1.0,183.723,123.491,1.0,181.885,141.838,1.0,178.445,160.259,1.0,175.779,180.048,1.0,173.31,199.624,1.0,167.974,215.331,1.0,168.595,225.316,1.0
2080,185.142,51.193,1.0,185.01,61.304,1.0,185.921,72.335,1.0,186.858,87.689,1.0,186.591,104.411,1.0,184.106,123.485,1.0,182.17,142.016,1.0,178.756,160.779,1.0,176.059,180.743,1.0,173.527,199.908,1.0,168.471,215.791,1.0,167.532,223.916,1.0
2081,185.239,51.139,1.0,185.088,61.103,1.0,185.964,72.142,1.0,186.836,87.38,1.0,186.579,103.924,1.0,184.033,123.141,1.0,182.26,141.76,1.0,179.012,160.418,1.0,176.138,180.446,1.0,173.491,199.666,1.0,168.244,215.553,1.0,167.401,223.811,1.0
2082,185.294,51.234,1.0,185.108,61.124,1.0,185.891,72.212,1.0,186.909,87.227,1.0,186.755,103.383,1.0,183.584,122.646,1.0,181.964,141.498,1.0,178.723,160.603,1.0,176.233,180.963,1.0,173.509,200.035,1.0,167.974,215.571,1.0,167.332,223.546,1.0
2083,185.28,51.231,1.0,185.092,61.116,1.0,185.893,72.221,1.0,186.873,87.216,1.0,186.792,103.373,1.0,183.76,122.597,1.0,181.859,141.439,1.0,178.69,160.627,1.0,176.091,180.308,1.0,173.531,199.726,1.0,167.548,215.169,1.0,168.592,224.741,1.0
2084,185.257,51.247,1.0,185.052,61.16,1.0,185.827,72.333,1.0,186.9,87.354,1.0,186.637,103.57,1.0,183.694,122.629,1.0,181.683,141.543,1.0,178.683,160.467,1.0,176.068,180.443,1.0,173.341,199.65,1.0,167.623,215.276,1.0,168.563,225.092,1.0
2085,185.207,51.037,1.0,185.07,60.961,1.0,185.88,72.209,1.0,186.836,87.434,1.0,186.753,103.621,1.0,183.91,122.685,1.0,181.832,141.311,1.0,178.894,159.976,1.0,176.138,179.428,1.0,173.517,198.706,1.0,167.393,214.477,1.0,168.376,224.783,1.0
2086,185.192,51.147,1.0,185.05,60.99,1.0,185.933,72.175,1.0,186.809,87.184,1.0,186.715,104.672,1.0,183.568,122.38,1.0,181.762,140.973,1.0,179.018,160.236,1.0,176.391,180.032,1.0,173.57,199.458,1.0,167.746,214.912,1.0,168.594,225.136,1.0
2087,185.28,51.146,1.0,185.093,61.05,1.0,185.97,72.177,1.0,186.87,87.306,1.0,186.878,103.52,1.0,183.963,122.751,1.0,181.841,141.757,1.0,178.729,160.928,1.0,176.13,180.499,1.0,173.472,200.435,1.0,168.036,215.765,1.0,168.614,225.206,1.0
2088,184.799,51.206,1.0,184.728,61.312,1.0,185.665,72.318,1.0,186.276,87.997,1.0,186.207,104.969,1.0,183.849,123.942,1.0,181.546,142.763,1.0,178.567,160.955,1.0,176.165,179.655,1.0,173.663,199.071,1.0,168.704,215.125,1.0,167.478,223.546,1.0
2089,184.847,51.372,1.0,184.757,61.344,1.0,185.798,72.352,1.0,186.837,87.871,1.0,186.734,104.424,1.0,183.932,123.319,1.0,182.031,142.21,1.0,178.915,160.53,1.0,176.446,179.961,1.0,173.779,199.357,1.0,168.653,215.289,1.0,167.347,223.614,1.0
2090,184.865,51.271,1.0,184.757,61.279,1.0,185.698,72.423,1.0,186.658,87.828,1.0,186.386,104.413,1.0,183.897,123.312,1.0,181.608,142.299,1.0,178.747,160.489,1.0,176.27,179.813,1.0,173.508,199.413,1.0,168.568,215.184,1.0,167.551,223.553,1.0
2091,184.847,51.307,1.0,184.704,61.303,1.0,185.586,72.404,1.0,186.387,87.845,1.0,186.487,104.344,1.0,183.603,123.494,1.0,181.415,142.423,1.0,178.598,160.556,1.0,176.197,179.619,1.0,173.416,199.243,1.0,167.888,214.915,1.0,168.603,224.678,1.0
2092,184.878,51.328,1.0,184.74,61.374,1.0,185.635,72.432,1.0,186.261,87.937,1.0,186.228,104.771,1.0,183.577,123.856,1.0,181.446,142.762,1.0,178.597,160.944,1.0,176.192,179.939,1.0,173.333,199.405,1.0,167.944,215.151,1.0,168.45,224.761,1.0
2093,184.911,51.289,1.0,184.753,61.33,1.0,185.653,72.45,1.0,186.368,88.124,1.0,186.226,104.834,1.0,183.522,123.905,1.0,181.298,142.956,1.0,178.426,160.897,1.0,175.743,180.172,1.0,173.283,199.453,1.0,167.867,215.062,1.0,167.338,223.507,1.0
2094,184.945,51.296,1.0,184.752,61.343,1.0,185.622,72.48,1.0,186.449,88.043,1.0,186.238,104.74,1.0,183.782,123.783,1.0,181.537,142.658,1.0,178.556,160.931,1.0,175.927,180.517,1.0,173.316,199.716,1.0,167.898,215.399,1.0,167.112,223.62,1.0
2095,184.905,51.321,1.0,184.737,61.365,1.0,185.694,72.46,1.0,186.524,87.756,1.0,186.532,104.334,1.0,183.766,123.457,1.0,181.489,142.467,1.0,178.603,160.978,1.0,176.21,180.555,1.0,173.445,200.072,1.0,168.105,215.493,1.0,167.221,223.726,1.0
2096,184.948,51.377,1.0,184.784,61.401,1.0,185.648,72.486,1.0,186.555,87.871,1.0,186.597,104.396,1.0,183.65,123.511,1.0,181.387,142.776,1.0,178.588,161.338,1.0,176.11,180.526,1.0,173.401,200.322,1.0,168.248,215.662,1.0,167.238,223.883,1.0
2097,184.89,51.425,1.0,184.738,61.444,1.0,185.682,72.517,1.0,186.724,87.809,1.0,186.891,104.048,1.0,183.715,123.09,1.0,181.471,142.228,1.0,178.587,161.046,1.0,176.364,180.891,1.0,173.52,200.408,1.0,168.183,215.655,1.0,167.384,223.742,1.0
2098,184.86,51.401,1.0,184.706,61.424,1.0,185.617,72.483,1.0,186.645,87.797,1.0,186.999,103.721,1.0,183.519,122.829,1.0,181.588,141.821,1.0,178.566,160.937,1.0,176.53,180.864,1.0,173.584,200.598,1.0,168.146,215.85,1.0,167.324,223.801,1.0
2099,184.806,51.356,1.0,184.686,61.462,1.0,185.643,72.512,1.0,186.579,88.087,1.0,186.656,104.51,1.0,183.841,123.493,1.0,181.802,142.274,1.0,178.657,161.185,1.0,176.097,180.321,1.0,173.34,200.142,1.0,167.956,215.489,1.0,167.325,223.754,1.0
2100,185.131,51.376,1.0,185.007,61.58,1.0,185.541,72.871,1.0,186.546,87.848,1.0,186.277,104.77,1.0,183.767,123.589,1.0,181.492,142.348,1.0,178.241,160.488,1.0,175.858,179.666,1.0,173.136,199.626,1.0,167.783,215.169,1.0,168.384,225.215,1.0
2101,185.066,51.218,1.0,185.062,61.376,1.0,185.658,72.722,1.0,186.613,87.851,1.0,186.323,104.691,1.0,183.811,123.47,1.0,181.528,142.323,1.0,178.201,160.632,1.0,175.771,179.615,1.0,173.217,199.602,1.0,167.661,214.862,1.0,168.151,223.172,1.0
2102,185.149,51.24,1.0,185.162,61.392,1.0,185.707,72.623,1.0,186.507,87.695,1.0,186.223,104.548,1.0,183.836,123.404,1.0,181.586,142.216,1.0,178.221,160.606,1.0,175.642,179.626,1.0,173.214,199.574,1.0,167.651,214.966,1.0,168.131,223.34,1.0
2103,185.121,51.195,1.0,185.138,61.389,1.0,185.552,72.638,1.0,186.369,87.79,1.0,186.172,104.633,1.0,183.714,123.52,1.0,181.598,142.409,1.0,178.381,160.72,1.0,175.829,179.77,1.0,173.377,199.548,1.0,168.015,215.154,1.0,168.799,225.029,1.0
2104,185.067,51.268,1.0,185.039,61.406,1.0,185.681,72.693,1.0,186.593,87.907,1.0,186.398,104.623,1.0,183.772,123.518,1.0,181.887,142.142,1.0,178.674,160.651,1.0,176.052,179.513,1.0,173.539,199.469,1.0,167.837,214.86,1.0,168.741,224.923,1.0
2105,185.093,51.234,1.0,185.087,61.356,1.0,185.729,72.647,1.0,186.671,87.83,1.0,186.488,104.473,1.0,183.701,123.382,1.0,181.847,142.091,1.0,178.679,160.474,1.0,176.248,179.757,1.0,173.609,199.524,1.0,167.862,214.91,1.0,168.791,224.941,1.0
2106,185.126,51.213,1.0,185.099,61.373,1.0,185.7,72.645,1.0,186.708,87.787,1.0,186.369,104.558,1.0,183.639,123.516,1.0,181.585,142.301,1.0,178.669,160.388,1.0,176.245,180.271,1.0,173.546,199.855,1.0,167.658,215.309,1.0,168.699,225.252,1.0
2107,185.163,51.218,1.0,185.148,61.257,1.0,185.728,72.512,1.0,186.728,87.454,1.0,186.411,103.985,1.0,183.469,123.186,1.0,181.217,142.442,1.0,178.34,160.916,1.0,176.015,180.24,1.0,173.414,200.004,1.0,167.668,215.473,1.0,168.358,223.598,1.0
2108,185.177,51.321,1.0,185.175,61.389,1.0,185.827,72.67,1.0,186.887,87.844,1.0,186.251,104.489,1.0,183.494,123.386,1.0,181.266,142.727,1.0,178.444,161.142,1.0,176.164,180.221,1.0,173.293,199.999,1.0,167.493,215.541,1.0,168.121,223.546,1.0
2109,185.232,51.307,1.0,185.19,61.353,1.0,185.776,72.648,1.0,186.933,87.688,1.0,186.443,104.282,1.0,183.748,123.201,1.0,181.519,142.252,1.0,178.689,160.826,1.0,175.934,180.197,1.0,173.348,199.749,1.0,167.829,215.349,1.0,168.712,224.929,1.0
2110,185.15,51.41,1.0,185.013,61.518,1.0,185.772,72.747,1.0,186.937,88.063,1.0,186.325,104.604,1.0,183.585,123.433,1.0,181.375,142.253,1.0,178.594,160.367,1.0,175.922,179.304,1.0,173.467,198.725,1.0,167.772,214.532,1.0,168.594,223.483,1.0
2111,185.103,51.403,1.0,184.978,61.517,1.0,185.651,72.746,1.0,186.945,87.895,1.0,186.551,104.12,1.0,183.514,122.963,1.0,181.306,142.088,1.0,178.419,160.678,1.0,175.895,179.893,1.0,173.349,199.318,1.0,167.693,214.764,1.0,168.512,223.385,1.0
2112,185.031,50.799,1.0,185.044,60.792,1.0,185.735,72.089,1.0,185.993,87.449,1.0,186.344,103.876,1.0,183.509,123.205,1.0,181.675,141.727,1.0,178.585,160.636,1.0,175.975,179.431,1.0,173.262,199.273,1.0,168.311,215.133,1.0,168.61,225.453,1.0
2113,185.05,50.731,1.0,185.092,60.651,1.0,185.75,71.901,1.0,186.115,87.141,1.0,186.557,103.469,1.0,183.629,122.811,1.0,181.911,141.316,1.0,178.775,160.147,1.0,176.164,179.051,1.0,173.45,198.668,1.0,168.597,214.39,1.0,167.554,224.15,1.0
2114,185.018,51.106,1.0,184.955,60.983,1.0,185.635,72.268,1.0,186.525,87.195,1.0,186.59,104.385,1.0,183.763,122.602,1.0,182.064,140.966,1.0,179.17,160.349,1.0,176.386,179.525,1.0,173.687,199.174,1.0,168.776,214.96,1.0,167.425,224.287,1.0
2115,185.106,51.2,1.0,184.998,61.087,1.0,185.922,72.301,1.0,186.883,87.398,1.0,186.911,103.641,1.0,184.087,122.84,1.0,182.177,141.466,1.0,178.968,160.849,1.0,176.101,179.991,1.0,173.503,199.707,1.0,168.951,215.471,1.0,167.749,224.182,1.0
2116,185.11,51.183,1.0,185.057,61.021,1.0,186.029,72.131,1.0,186.977,87.312,1.0,186.805,103.392,1.0,183.707,122.637,1.0,181.724,141.632,1.0,178.815,160.788,1.0,176.301,180.501,1.0,173.508,199.917,1.0,167.967,215.077,1.0,168.549,225.03,1.0
2117,185.025,51.151,1.0,184.953,61.083,1.0,185.842,72.255,1.0,186.794,87.541,1.0,186.669,103.572,1.0,183.639,122.776,1.0,181.58,141.699,1.0,178.447,160.485,1.0,176.11,179.824,1.0,173.439,199.215,1.0,168.115,214.943,1.0,167.497,223.868,1.0
2118,185.094,51.25,1.0,184.981,61.157,1.0,185.779,72.371,1.0,186.883,87.498,1.0,186.698,103.686,1.0,183.643,122.845,1.0,181.457,141.862,1.0,178.232,160.779,1.0,175.828,180.587,1.0,173.08,200.08,1.0,167.998,215.534,1.0,167.351,224.143,1.0
2119,185.086,51.28,1.0,184.975,61.154,1.0,185.815,72.358,1.0,186.863,87.548,1.0,186.655,103.7,1.0,183.399,122.903,1.0,181.522,141.968,1.0,178.455,160.912,1.0,176.106,180.353,1.0,173.3,199.892,1.0,168.086,215.157,1.0,167.469,223.999,1.0
2120,185.077,51.342,1.0,184.946,61.231,1.0,185.704,72.51,1.0,186.795,87.573,1.0,186.538,103.958,1.0,183.312,123.162,1.0,181.461,142.501,1.0,178.587,161.701,1.0,176.309,181.094,1.0,173.481,201.06,1.0,168.258,215.981,1.0,167.595,223.818,1.0
2121,185.088,51.355,1.0,184.956,61.259,1.0,185.723,72.491,1.0,186.896,87.537,1.0,186.592,103.872,1.0,183.445,123.215,1.0,181.502,142.5,1.0,178.67,161.396,1.0,176.345,181.101,1.0,173.48,200.758,1.0,168.449,215.792,1.0,167.597,223.863,1.0
2122,185.085,51.289,1.0,184.94,61.284,1.0,185.552,72.577,1.0,186.81,87.607,1.0,186.428,104.119,1.0,183.27,123.313,1.0,181.577,142.514,1.0,178.724,161.096,1.0,176.232,180.008,1.0,173.464,199.639,1.0,168.393,215.193,1.0,167.486,223.803,1.0
2123,185.116,51.273,1.0,184.948,61.303,1.0,185.573,72.511,1.0,186.723,87.656,1.0,186.231,104.355,1.0,183.535,123.589,1.0,181.957,142.423,1.0,178.68,160.787,1.0,176.004,179.858,1.0,173.054,199.762,1.0,168.242,215.332,1.0,167.61,223.963,1.0
2124,185.206,50.976,1.0,185.114,61.099,1.0,185.922,72.327,1.0,186.378,87.566,1.0,186.48,104.319,1.0,183.486,123.395,1.0,181.751,141.81,1.0,178.626,160.222,1.0,175.924,179.341,1.0,173.262,199.096,1.0,167.721,214.474,1.0,168.709,223.177,1.0
2125,185.23,50.988,1.0,185.078,61.121,1.0,185.917,72.454,1.0,186.394,87.659,1.0,186.414,104.549,1.0,183.594,123.547,1.0,181.883,141.79,1.0,178.681,160.222,1.0,175.899,179.13,1.0,173.4,198.621,1.0,167.576,214.259,1.0,168.401,223.567,1.0
2126,185.259,51.027,1.0,185.084,61.107,1.0,185.869,72.362,1.0,186.522,87.575,1.0,186.766,104.049,1.0,183.483,123.191,1.0,181.849,141.653,1.0,178.866,160.407,1.0,175.995,179.442,1.0,173.429,198.876,1.0,167.584,214.279,1.0,168.499,223.41,1.0
2127,185.25,51.113,1.0,185.126,61.152,1.0,185.939,72.337,1.0,186.72,87.602,1.0,186.937,103.941,1.0,183.496,122.945,1.0,181.776,141.588,1.0,178.844,160.707,1.0,176.135,180.165,1.0,173.522,199.448,1.0,167.72,214.657,1.0,168.361,223.59,1.0
2128,185.33,51.185,1.0,185.083,61.243,1.0,185.835,72.445,1.0,186.709,87.76,1.0,186.667,104.451,1.0,183.618,123.561,1.0,181.697,142.244,1.0,179.108,160.724,1.0,176.173,179.877,1.0,173.631,199.193,1.0,167.839,214.549,1.0,168.394,223.192,1.0
2129,185.292,51.107,1.0,185.102,61.062,1.0,185.829,72.324,1.0,186.616,87.321,1.0,186.774,103.867,1.0,183.498,122.933,1.0,181.668,141.834,1.0,178.965,160.397,1.0,176.279,179.979,1.0,173.447,198.995,1.0,167.692,214.279,1.0,168.3,223.138,1.0
2130,185.338,51.202,1.0,185.167,61.107,1.0,185.957,72.313,1.0,186.761,87.329,1.0,186.883,103.929,1.0,183.374,123.053,1.0,181.748,141.911,1.0,178.911,160.71,1.0,176.222,179.941,1.0,173.298,199.148,1.0,167.566,214.256,1.0,168.228,223.071,1.0
2131,185.33,51.142,1.0,185.17,61.076,1.0,185.995,72.254,1.0,186.62,87.289,1.0,186.882,103.847,1.0,183.517,122.999,1.0,181.854,141.728,1.0,178.999,160.557,1.0,176.278,179.376,1.0,173.461,198.833,1.0,167.584,214.064,1.0,168.215,223.256,1.0
2132,185.304,51.2,1.0,185.14,61.152,1.0,185.907,72.342,1.0,186.708,87.532,1.0,186.603,104.244,1.0,183.434,123.3,1.0,181.683,142.159,1.0,178.895,160.722,1.0,176.028,179.757,1.0,173.352,199.534,1.0,167.56,214.513,1.0,168.411,223.418,1.0
2133,185.385,51.253,1.0,185.256,61.136,1.0,186.059,72.187,1.0,186.77,87.047,1.0,187.234,103.282,1.0,183.756,122.536,1.0,182.132,141.027,1.0,179.104,160.466,1.0,176.195,179.957,1.0,173.394,199.665,1.0,167.646,214.673,1.0,168.43,223.364,1.0
2134,185.389,51.161,1.0,185.223,61.08,1.0,186.004,72.236,1.0,186.784,87.31,1.0,187.004,103.655,1.0,183.732,122.8,1.0,181.978,141.255,1.0,179.144,160.295,1.0,176.169,179.424,1.0,173.431,199.121,1.0,167.457,214.373,1.0,168.399,223.251,1.0
2135,185.268,51.171,1.0,185.14,61.171,1.0,185.928,72.316,1.0,186.876,87.675,1.0,186.554,104.5,1.0,183.754,123.633,1.0,181.921,141.89,1.0,178.89,160.506,1.0,176.106,178.937,1.0,173.549,198.456,1.0,167.788,214.095,1.0,168.496,223.294,1.0
