scorer,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
42,182.83,51.537,1.0,181.153,64.315,1.0,183.286,77.402,1.0,183.325,91.108,1.0,183.168,108.057,1.0,183.034,125.412,1.0,181.849,144.057,1.0,180.631,159.269,1.0,181.881,178.807,1.0,182.328,192.459,1.0,181.042,213.928,1.0,181.16,224.535,1.0
43,182.785,51.634,1.0,181.05,64.282,1.0,183.301,77.354,1.0,183.417,90.947,1.0,183.178,107.935,1.0,183.09,125.397,1.0,181.837,144.069,1.0,180.577,159.317,1.0,181.802,178.884,1.0,182.243,192.471,1.0,181.115,213.812,1.0,181.14,224.391,1.0
44,182.813,51.613,1.0,181.068,64.261,1.0,183.358,77.365,1.0,183.484,90.999,1.0,183.074,107.97,1.0,183.11,125.409,1.0,181.851,144.116,1.0,180.583,159.239,1.0,181.863,178.809,1.0,182.264,192.46,1.0,181.069,213.696,1.0,181.087,224.484,1.0
45,182.807,51.635,1.0,181.135,64.285,1.0,183.299,77.365,1.0,183.094,91.137,1.0,182.814,107.907,1.0,182.915,125.219,1.0,181.882,144.057,1.0,180.454,159.206,1.0,181.839,178.765,1.0,182.241,192.429,1.0,181.058,213.632,1.0,181.166,224.449,1.0
46,182.827,51.66,1.0,181.193,64.334,1.0,183.33,77.37,1.0,182.926,91.186,1.0,182.628,107.931,1.0,182.814,125.173,1.0,182.118,144.144,1.0,180.634,159.26,1.0,181.839,178.81,1.0,182.275,192.405,1.0,181.117,213.593,1.0,181.2,224.334,1.0
47,182.854,51.74,1.0,181.156,64.342,1.0,183.342,77.467,1.0,183.105,91.289,1.0,182.706,108.196,1.0,182.809,125.529,1.0,181.949,144.349,1.0,180.644,159.526,1.0,181.762,179.165,1.0,182.331,192.487,1.0,181.006,213.76,1.0,181.235,224.526,1.0
48,182.909,51.775,1.0,181.128,64.28,1.0,183.358,77.046,1.0,183.54,90.601,1.0,182.858,107.624,1.0,182.997,125.024,1.0,181.621,143.902,1.0,180.406,159.034,1.0,181.46,178.757,1.0,182.047,192.024,1.0,181.334,213.741,1.0,180.748,224.689,1.0
49,182.985,51.732,1.0,181.158,64.324,1.0,183.331,77.171,1.0,183.487,90.878,1.0,182.922,107.858,1.0,182.932,125.283,1.0,181.578,144.01,1.0,180.369,159.085,1.0,181.464,178.661,1.0,182.13,191.746,1.0,181.423,213.613,1.0,180.68,224.68,1.0
50,182.893,51.761,1.0,181.133,64.302,1.0,183.283,77.21,1.0,183.589,90.807,1.0,182.998,107.853,1.0,183.027,125.335,1.0,181.702,144.061,1.0,180.466,159.197,1.0,181.515,178.878,1.0,182.368,192.076,1.0,181.42,213.87,1.0,180.628,224.792,1.0
51,182.946,51.821,1.0,181.265,64.426,1.0,183.4,77.365,1.0,183.515,91.044,1.0,183.135,108.12,1.0,182.912,125.208,1.0,181.652,144.055,1.0,180.477,159.364,1.0,181.41,178.946,1.0,182.254,192.294,1.0,181.232,214.002,1.0,180.863,224.942,1.0
52,182.953,51.765,1.0,181.316,64.423,1.0,183.408,77.42,1.0,183.47,91.11,1.0,183.096,108.127,1.0,182.833,125.278,1.0,181.574,144.179,1.0,180.54,159.552,1.0,181.501,179.07,1.0,182.387,192.395,1.0,181.364,213.895,1.0,180.83,224.894,1.0
53,183.009,51.756,1.0,181.277,64.428,1.0,183.441,77.571,1.0,183.547,91.373,1.0,183.196,108.381,1.0,182.795,125.416,1.0,181.486,144.103,1.0,180.505,159.423,1.0,181.44,178.823,1.0,182.44,192.232,1.0,181.49,213.892,1.0,180.912,224.825,1.0
