scorer,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
139,163.779,539.278,1.0,202.55,397.387,0.9909999966621399,107.852,812.459,0.5879999995231628,101.661,897.761,0.9990000128746033,131.762,651.812,0.18799999356269836,115.786,787.733,0.35600000619888306,92.147,1020.263,1.0,90.099,1124.198,1.0,91.951,1221.054,0.9990000128746033,100.695,1323.736,1.0,115.806,1468.668,1.0
140,244.031,298.949,1.0,202.304,397.523,1.0,115.865,755.852,0.5680000185966492,100.824,907.137,0.9990000128746033,115.761,755.913,0.17000000178813934,115.715,764.181,0.07900000363588333,92.33,1012.101,0.9819999933242798,89.802,1123.294,1.0,97.514,1227.288,1.0,107.929,1395.554,1.0,116.134,1468.643,1.0
141,252.996,275.956,0.9980000257492065,209.707,404.421,1.0,180.598,484.348,0.9919999837875366,124.414,746.321,0.9599999785423279,139.642,644.003,0.8679999709129333,107.889,916.323,0.07199999690055847,92.334,1004.485,1.0,85.279,1125.097,1.0,97.435,1221.724,1.0,100.305,1325.288,1.0,116.443,1467.998,1.0
142,252.718,291.929,0.9990000128746033,170.183,531.703,0.9929999709129333,244.535,317.448,0.9990000128746033,100.754,906.806,0.9520000219345093,131.8,635.67,0.20800000429153442,252.534,299.97,0.8080000281333923,92.009,1003.974,0.9710000157356262,84.624,1131.137,1.0,98.788,1227.255,0.921999990940094,100.152,1324.984,1.0,116.69,1468.228,1.0
143,260.358,275.385,0.9990000128746033,171.134,524.775,0.9990000128746033,171.27,524.549,1.0,170.414,523.929,0.9639999866485596,139.729,644.406,0.7599999904632568,236.38,332.526,0.20600000023841858,92.239,1011.305,0.9990000128746033,89.923,1131.098,1.0,99.069,1227.296,0.9100000262260437,100.331,1325.002,1.0,116.259,1467.981,1.0
144,268.876,276.123,1.0,187.772,467.331,0.9769999980926514,147.809,635.698,0.9990000128746033,171.654,523.777,0.25600001215934753,124.152,739.707,0.10100000351667404,99.944,979.856,0.777999997138977,92.05,987.939,0.9980000257492065,84.422,1130.545,1.0,92.066,1219.698,0.9980000257492065,106.171,1389.122,1.0,116.818,1468.166,1.0
145,275.972,274.918,1.0,228.318,396.371,1.0,148.979,637.46,0.8320000171661377,140.551,650.498,0.9990000128746033,115.706,755.562,0.8889999985694885,100.149,987.859,0.5770000219345093,92.577,988.129,0.9990000128746033,84.613,1130.909,1.0,91.512,1219.893,1.0,106.655,1389.424,1.0,116.775,1468.331,1.0
146,268.443,307.348,1.0,230.927,396.588,1.0,188.084,492.175,1.0,140.015,645.089,0.9769999980926514,108.942,739.701,0.15000000596046448,123.701,747.576,0.6380000114440918,91.909,995.998,1.0,84.162,1130.351,1.0,91.665,1211.51,0.8159999847412109,99.461,1316.39,1.0,117.104,1474.387,1.0
147,284.95,282.773,1.0,185.682,516.213,1.0,92.717,891.775,0.0989999994635582,147.05,628.353,0.9399999976158142,155.372,619.858,0.7570000290870667,124.48,731.303,0.9919999837875366,84.882,1004.005,1.0,84.157,1131.423,1.0,83.737,1252.43,0.5249999761581421,106.632,1380.184,0.9729999899864197,116.071,1469.087,1.0
148,299.056,281.572,1.0,202.994,468.075,0.9620000123977661,203.106,476.783,0.9959999918937683,202.366,476.247,0.6629999876022339,120.317,746.978,1.0,100.038,883.357,0.9980000257492065,85.204,1003.788,1.0,83.95,1131.359,1.0,91.586,1275.86,0.6069999933242798,106.733,1387.608,0.9879999756813049,116.113,1468.84,1.0
149,307.624,281.436,1.0,203.676,482.165,1.0,267.352,355.921,0.04100000113248825,156.393,627.712,0.49300000071525574,121.886,739.357,1.0,99.362,884.374,1.0,86.245,996.515,1.0,83.297,1131.269,1.0,90.391,1267.947,0.996999979019165,101.636,1379.914,0.996999979019165,116.678,1469.443,1.0
150,315.99,282.446,1.0,251.209,396.693,0.9940000176429749,164.147,605.119,0.2240000069141388,155.778,619.535,0.9409999847412109,123.518,742.665,1.0,100.738,867.957,1.0,85.626,995.933,1.0,83.376,1131.613,1.0,90.664,1259.709,0.9940000176429749,106.61,1388.368,0.9990000128746033,116.616,1469.683,1.0
151,323.573,290.897,1.0,250.915,428.85,0.9890000224113464,171.588,588.435,0.0989999994635582,172.346,612.098,0.28999999165534973,131.677,746.425,0.8009999990463257,131.227,738.341,1.0,85.172,996.199,1.0,83.25,1131.471,1.0,90.215,1267.448,0.9990000128746033,106.151,1388.458,0.9990000128746033,116.966,1475.816,1.0
152,339.501,282.541,1.0,251.705,436.884,0.9570000171661377,218.807,493.252,0.9200000166893005,211.718,500.693,0.984000027179718,131.094,739.75,0.9330000281333923,133.3,733.634,1.0,85.404,988.905,1.0,82.166,1138.962,1.0,89.863,1267.789,1.0,105.858,1379.976,1.0,116.805,1469.103,1.0
153,340.407,289.715,1.0,228.155,476.279,0.6940000057220459,228.304,476.896,0.8230000138282776,219.581,492.406,1.0,131.142,732.67,1.0,102.02,864.289,1.0,85.966,989.572,1.0,76.312,1131.716,1.0,89.693,1267.894,1.0,100.644,1357.2,0.9990000128746033,117.066,1469.109,1.0
154,348.85,284.445,1.0,298.334,365.338,0.9190000295639038,235.357,476.927,0.9890000224113464,227.023,485.134,0.9789999723434448,170.066,598.681,1.0,107.072,859.667,1.0,85.837,989.734,1.0,76.025,1131.799,1.0,84.976,1260.725,1.0,100.473,1357.575,0.996999979019165,116.864,1473.297,1.0
155,355.511,291.789,1.0,298.186,380.942,0.9980000257492065,244.155,468.457,1.0,169.987,613.562,1.0,131.137,737.356,1.0,106.255,865.858,1.0,91.964,989.324,1.0,75.59,1131.297,1.0,84.021,1267.85,1.0,100.365,1373.243,0.984000027179718,116.377,1474.407,1.0
156,364.704,283.128,1.0,299.135,380.311,0.996999979019165,236.039,485.895,1.0,179.313,611.261,1.0,131.639,731.206,1.0,106.863,869.336,1.0,92.246,989.702,1.0,75.788,1131.449,1.0,83.337,1267.839,1.0,100.135,1364.086,0.9900000095367432,116.473,1474.756,1.0
157,371.712,291.426,1.0,314.031,371.963,0.996999979019165,244.457,474.864,1.0,179.82,605.08,1.0,137.208,724.189,1.0,107.57,860.109,1.0,92.12,989.506,1.0,75.84,1131.583,1.0,83.068,1267.439,1.0,100.336,1357.328,0.9869999885559082,116.373,1476.733,1.0
158,379.785,292.386,1.0,323.364,373.834,1.0,251.187,476.621,1.0,185.244,605.47,1.0,135.592,731.096,1.0,107.765,859.41,1.0,92.208,989.477,1.0,75.286,1130.845,1.0,83.306,1267.436,1.0,106.577,1356.962,0.8809999823570251,116.742,1476.721,1.0
159,386.185,291.25,1.0,329.876,370.631,1.0,251.66,475.921,0.9990000128746033,185.942,598.492,1.0,137.586,726.777,1.0,108.473,860.014,1.0,91.55,988.547,1.0,75.297,1130.477,1.0,83.046,1268.481,1.0,100.859,1388.599,0.9860000014305115,116.597,1476.016,1.0
160,395.862,290.595,1.0,337.953,366.627,1.0,267.441,460.371,0.9959999918937683,192.211,592.826,1.0,137.59,723.876,1.0,106.466,857.122,1.0,86.235,988.08,1.0,75.524,1131.158,1.0,84.599,1267.437,1.0,105.96,1385.517,1.0,116.133,1473.513,1.0
161,402.684,293.071,1.0,339.498,370.597,1.0,268.366,467.487,1.0,195.125,591.994,1.0,146.661,717.654,1.0,106.38,857.634,1.0,85.746,988.367,1.0,75.573,1131.752,1.0,83.994,1267.734,1.0,105.65,1383.416,1.0,116.115,1476.753,1.0
162,411.868,298.12,1.0,344.495,370.897,1.0,277.112,466.033,1.0,199.671,588.538,1.0,139.061,723.627,1.0,106.766,857.225,1.0,85.66,988.324,1.0,75.884,1132.037,1.0,84.459,1268.954,1.0,105.519,1385.465,1.0,115.854,1475.565,1.0
163,419.831,298.967,1.0,349.354,377.722,1.0,279.9,466.732,1.0,197.642,591.057,1.0,147.289,716.362,1.0,108.294,855.854,1.0,85.097,988.436,1.0,75.327,1132.368,1.0,84.644,1270.581,1.0,104.523,1386.322,1.0,115.191,1476.327,1.0
164,427.628,299.033,1.0,355.687,377.65,1.0,280.801,467.095,1.0,201.926,593.029,1.0,147.853,716.866,1.0,108.476,854.403,1.0,85.3,987.834,1.0,75.04,1131.164,1.0,84.738,1269.79,1.0,103.865,1388.873,1.0,115.073,1476.328,1.0
165,437.533,299.976,1.0,363.483,378.466,1.0,284.121,474.582,1.0,205.923,592.783,1.0,148.62,716.499,1.0,109.381,855.915,1.0,85.644,987.797,1.0,74.628,1131.019,1.0,84.811,1269.732,1.0,106.018,1393.84,1.0,115.469,1475.415,1.0
166,450.121,298.833,1.0,370.009,379.606,1.0,284.768,474.752,1.0,209.685,591.381,1.0,150.09,715.43,1.0,109.782,855.371,1.0,86.825,982.381,1.0,75.075,1131.589,1.0,84.752,1269.881,1.0,106.053,1393.79,1.0,115.286,1474.855,1.0
167,458.647,300.353,1.0,374.74,380.12,1.0,290.138,479.007,1.0,213.623,590.868,1.0,146.364,713.549,1.0,109.73,853.778,1.0,86.867,980.918,1.0,75.037,1132.192,1.0,85.468,1271.6,1.0,106.083,1394.138,1.0,114.995,1474.751,1.0
168,460.199,305.982,1.0,377.638,381.954,1.0,292.162,479.345,1.0,213.666,590.747,1.0,147.849,714.119,1.0,109.097,853.944,1.0,86.009,982.292,1.0,75.132,1132.774,1.0,84.48,1271.043,1.0,106.343,1394.844,1.0,115.24,1474.566,1.0
169,468.075,304.361,1.0,381.252,380.335,1.0,292.587,482.268,1.0,213.572,591.451,1.0,149.518,714.107,1.0,109.034,854.583,1.0,85.966,981.903,1.0,74.882,1132.71,1.0,83.192,1270.185,1.0,106.441,1395.238,1.0,115.588,1474.56,1.0
170,476.121,306.762,1.0,388.983,383.591,1.0,293.443,487.422,1.0,219.698,586.23,1.0,153.765,709.832,1.0,109.088,852.983,1.0,85.93,981.708,1.0,74.875,1131.791,1.0,82.124,1268.084,1.0,104.008,1391.159,1.0,115.941,1472.891,1.0
171,485.789,310.396,1.0,396.167,386.27,1.0,293.801,490.25,1.0,221.071,586.434,1.0,155.369,710.417,1.0,109.213,844.33,1.0,86.075,980.554,1.0,74.517,1131.2,1.0,81.786,1269.355,1.0,106.442,1395.012,1.0,115.974,1473.612,1.0
172,498.727,316.09,1.0,404.368,390.382,1.0,297.757,493.388,1.0,226.994,587.067,1.0,154.509,709.31,1.0,109.544,844.414,1.0,85.416,981.276,1.0,74.298,1132.256,1.0,81.042,1268.095,1.0,104.759,1393.984,1.0,116.081,1477.228,1.0
173,507.568,322.645,1.0,421.73,387.194,1.0,324.213,476.585,1.0,232.882,587.118,1.0,162.631,703.84,1.0,109.097,843.353,1.0,84.849,982.45,1.0,73.54,1131.289,1.0,79.462,1268.364,1.0,101.033,1389.118,1.0,117.944,1484.586,1.0
174,524.115,330.025,1.0,442.058,386.836,1.0,338.819,469.132,1.0,239.385,581.895,1.0,164.422,704.659,1.0,112.904,837.886,1.0,84.45,980.717,1.0,73.486,1131.43,1.0,79.205,1269.063,1.0,101.279,1385.368,1.0,117.645,1484.875,1.0
175,546.598,332.001,1.0,459.372,386.309,1.0,364.291,459.806,1.0,249.812,577.163,1.0,170.543,700.884,1.0,115.285,837.803,1.0,84.6,981.059,1.0,73.346,1131.208,1.0,79.19,1266.855,1.0,101.316,1385.515,1.0,117.657,1484.854,1.0
176,556.011,340.499,1.0,473.937,388.376,1.0,374.315,459.509,1.0,260.197,574.17,1.0,179.65,693.407,1.0,116.074,832.385,1.0,83.176,982.371,1.0,73.291,1130.012,1.0,79.414,1269.646,1.0,101.14,1384.749,1.0,117.594,1484.18,1.0
177,564.731,346.994,1.0,481.147,394.558,1.0,378.04,461.529,1.0,260.676,574.355,1.0,180.135,688.419,1.0,115.684,832.684,1.0,83.171,981.136,1.0,73.302,1130.893,1.0,75.47,1268.605,1.0,101.103,1384.012,1.0,117.474,1484.23,1.0
178,577.993,345.867,1.0,486.04,393.53,1.0,378.61,463.338,1.0,266.658,570.151,1.0,179.483,685.018,1.0,117.451,829.671,1.0,82.761,981.027,1.0,70.379,1130.98,1.0,75.205,1268.038,1.0,101.078,1383.275,1.0,118.182,1484.607,1.0
179,586.697,348.166,1.0,489.567,396.772,1.0,378.309,466.063,1.0,268.373,569.396,1.0,180.902,685.04,1.0,116.955,829.769,1.0,81.954,980.74,1.0,69.813,1130.455,1.0,75.012,1266.478,1.0,101.348,1382.482,1.0,121.563,1484.878,1.0
180,592.934,356.939,1.0,497.956,400.181,1.0,380.525,473.023,1.0,271.564,567.86,1.0,180.762,685.28,1.0,117.899,828.735,1.0,77.765,982.133,1.0,70.326,1131.537,1.0,74.148,1265.372,1.0,101.184,1383.933,1.0,120.881,1485.549,1.0
181,605.059,370.42,1.0,509.194,407.357,1.0,389.304,473.406,1.0,278.445,570.795,1.0,182.164,685.877,1.0,118.262,829.384,1.0,77.633,981.276,1.0,69.31,1131.179,1.0,74.335,1266.408,1.0,101.301,1384.342,1.0,121.008,1485.143,1.0
182,620.919,378.968,1.0,523.216,412.328,1.0,395.026,476.953,1.0,286.19,567.962,1.0,180.895,684.676,1.0,119.93,828.254,1.0,77.872,981.493,1.0,67.519,1129.908,1.0,74.053,1268.102,1.0,101.056,1384.722,1.0,120.948,1485.236,1.0
183,635.749,380.865,1.0,538.276,413.135,1.0,418.958,475.801,1.0,291.664,564.962,1.0,184.926,686.71,1.0,120.052,828.525,1.0,80.483,977.527,1.0,66.912,1124.602,1.0,74.052,1269.619,1.0,100.705,1385.818,1.0,119.115,1485.124,1.0
184,643.139,384.855,1.0,546.72,415.503,1.0,420.553,475.206,1.0,295.146,563.998,1.0,184.151,684.362,1.0,122.456,826.097,1.0,82.619,974.008,1.0,66.464,1123.126,1.0,74.1,1270.301,1.0,100.703,1385.475,1.0,118.733,1485.212,1.0
185,652.819,388.289,1.0,551.361,419.376,1.0,428.098,475.124,1.0,298.48,561.869,1.0,184.198,683.858,1.0,118.261,829.297,1.0,81.938,973.594,1.0,65.914,1122.398,1.0,74.188,1271.83,1.0,100.465,1386.323,1.0,118.256,1485.221,1.0
186,660.307,395.185,1.0,563.435,422.867,1.0,428.888,476.34,1.0,301.396,561.021,1.0,184.639,683.756,1.0,118.237,829.374,1.0,76.844,973.093,1.0,66.148,1126.072,1.0,73.548,1271.685,1.0,99.691,1385.737,1.0,117.894,1485.217,1.0
187,669.6,403.653,1.0,571.1,426.809,1.0,438.375,477.643,1.0,307.016,558.362,1.0,194.981,678.21,1.0,118.989,829.062,1.0,76.774,973.081,1.0,65.672,1124.372,1.0,74.216,1273.858,1.0,99.167,1386.594,1.0,118.099,1485.081,1.0
188,675.104,404.771,1.0,581.559,429.163,1.0,444.092,476.518,1.0,310.316,557.243,1.0,196.273,675.943,1.0,118.565,828.642,1.0,76.558,973.02,1.0,65.368,1123.062,1.0,73.976,1274.182,1.0,98.917,1386.424,1.0,118.074,1485.191,1.0
189,669.291,419.64,0.996999979019165,587.562,433.069,1.0,450.767,477.578,1.0,311.59,557.171,1.0,196.948,673.699,1.0,117.697,828.285,1.0,76.35,972.882,1.0,64.993,1122.862,1.0,73.878,1274.709,1.0,98.385,1387.716,1.0,118.209,1485.559,1.0
190,132.306,1483.633,0.04100000113248825,588.53,436.879,1.0,453.068,482.293,1.0,317.265,554.028,1.0,196.117,673.399,1.0,115.988,826.819,1.0,75.994,972.651,1.0,62.009,1124.626,1.0,73.916,1275.195,1.0,98.843,1387.588,1.0,118.506,1485.783,1.0
191,708.257,427.497,0.6620000004768372,601.28,437.174,1.0,469.7,476.028,1.0,324.95,554.139,1.0,200.067,666.751,1.0,114.743,819.78,1.0,75.296,971.858,1.0,61.596,1124.752,1.0,74.239,1274.68,1.0,98.92,1385.541,1.0,119.134,1485.211,1.0
192,731.672,442.471,1.0,613.042,445.422,1.0,476.543,476.949,1.0,332.901,552.707,1.0,199.767,666.199,1.0,115.363,818.858,1.0,75.454,972.129,1.0,61.745,1123.126,1.0,73.626,1275.312,1.0,98.367,1391.735,1.0,119.007,1485.125,1.0
193,733.431,451.613,1.0,616.524,454.91,1.0,488.034,486.253,1.0,341.26,553.953,1.0,201.374,666.271,1.0,116.307,820.87,1.0,75.69,972.018,1.0,61.823,1124.122,1.0,73.536,1276.036,1.0,98.004,1392.884,1.0,120.944,1485.005,1.0
194,741.12,460.673,1.0,628.809,462.198,1.0,497.504,490.556,1.0,344.439,552.292,1.0,209.837,665.634,1.0,115.169,819.852,1.0,75.638,971.842,1.0,61.945,1125.766,1.0,73.297,1276.685,1.0,97.633,1393.502,1.0,118.23,1485.988,1.0
195,747.698,466.356,1.0,634.429,466.159,1.0,503.398,490.523,1.0,347.568,551.482,1.0,209.917,664.948,1.0,114.648,820.338,1.0,77.374,966.449,1.0,61.605,1125.617,1.0,73.332,1280.294,1.0,97.585,1395.707,1.0,118.373,1485.972,1.0
196,754.784,474.235,1.0,645.306,474.313,1.0,505.107,493.187,1.0,351.07,551.132,1.0,214.027,661.197,1.0,115.792,816.547,1.0,76.851,966.091,1.0,61.483,1125.435,1.0,73.363,1280.33,1.0,97.844,1396.667,1.0,120.649,1485.66,1.0
197,765.422,483.63,1.0,650.546,476.76,1.0,517.576,495.101,1.0,357.569,551.787,1.0,215.967,658.864,1.0,117.089,814.442,1.0,76.621,966.137,1.0,61.201,1125.603,1.0,73.045,1276.209,1.0,97.297,1396.244,1.0,118.178,1485.443,1.0
198,772.361,490.646,1.0,659.167,485.95,1.0,518.647,498.142,1.0,365.25,546.888,1.0,216.9,658.251,1.0,117.759,814.325,1.0,76.855,965.611,1.0,60.923,1126.269,1.0,73.242,1276.075,1.0,97.359,1394.914,1.0,117.726,1485.521,1.0
199,780.293,500.691,1.0,667.156,491.481,1.0,529.701,498.814,1.0,371.626,548.586,1.0,218.249,658.092,1.0,117.062,813.959,1.0,76.424,965.12,1.0,59.397,1123.265,1.0,73.085,1274.942,1.0,96.666,1397.484,1.0,118.129,1485.615,1.0
200,795.162,514.593,1.0,676.909,498.547,1.0,536.1,502.282,1.0,377.162,548.679,1.0,219.205,658.377,1.0,117.379,813.312,1.0,70.78,966.502,1.0,58.673,1122.368,1.0,70.849,1275.327,1.0,96.658,1398.372,1.0,120.974,1493.519,1.0
201,803.155,524.923,1.0,684.964,506.968,1.0,547.144,507.35,1.0,381.665,548.893,1.0,225.668,655.293,1.0,123.76,806.692,1.0,70.591,966.296,1.0,58.619,1122.249,1.0,69.418,1269.491,1.0,96.648,1399.25,1.0,121.884,1495.795,1.0
202,812.431,539.687,1.0,700.833,517.355,1.0,555.199,509.863,1.0,396.265,553.245,1.0,228.984,651.699,1.0,124.111,806.599,1.0,71.0,964.847,1.0,57.981,1121.999,1.0,68.699,1267.324,1.0,96.583,1399.904,1.0,122.377,1496.956,1.0
203,827.433,548.939,1.0,714.4,524.75,1.0,563.288,515.268,1.0,398.656,553.07,1.0,235.008,650.222,1.0,124.407,804.451,1.0,70.97,964.726,1.0,58.445,1116.354,1.0,68.82,1267.679,1.0,97.713,1399.395,1.0,122.276,1496.797,1.0
204,829.302,562.705,1.0,721.297,535.683,1.0,572.507,519.41,1.0,409.613,548.95,1.0,244.226,642.894,1.0,124.511,796.691,1.0,70.245,964.764,1.0,57.931,1116.121,1.0,67.444,1269.615,1.0,96.746,1400.83,1.0,122.284,1497.543,1.0
205,843.293,572.52,1.0,735.049,544.559,1.0,587.01,523.643,1.0,418.708,552.515,1.0,249.685,640.359,1.0,133.104,794.848,1.0,75.979,961.623,1.0,57.672,1115.382,1.0,68.107,1266.943,1.0,96.701,1399.228,1.0,122.295,1497.304,1.0
206,851.988,588.636,1.0,748.004,554.033,1.0,596.527,527.886,1.0,430.621,551.879,1.0,261.854,636.986,1.0,133.682,788.119,1.0,75.667,957.898,1.0,57.372,1115.319,1.0,67.244,1265.323,1.0,96.252,1399.05,1.0,121.857,1497.152,1.0
207,860.17,605.278,1.0,760.555,566.501,1.0,613.755,535.865,1.0,437.995,554.817,1.0,261.683,637.331,1.0,133.43,789.94,1.0,75.435,957.423,1.0,57.242,1114.647,1.0,67.155,1264.148,1.0,96.411,1397.43,1.0,122.536,1500.433,1.0
208,869.342,620.296,1.0,772.312,573.91,1.0,620.951,539.615,1.0,443.128,556.651,1.0,265.817,634.903,1.0,139.181,785.731,1.0,71.057,956.661,1.0,54.256,1115.243,1.0,66.08,1265.331,1.0,95.749,1398.853,1.0,122.135,1500.628,1.0
209,876.262,635.8,1.0,779.595,587.21,1.0,630.346,542.863,1.0,451.3,558.144,1.0,275.614,634.568,1.0,140.65,779.096,1.0,70.776,956.467,1.0,54.291,1114.602,1.0,66.077,1264.658,1.0,95.501,1398.159,1.0,122.085,1500.724,1.0
210,884.662,651.205,1.0,789.308,598.586,1.0,633.511,551.544,1.0,461.694,556.197,1.0,277.108,632.392,1.0,141.483,779.531,1.0,70.504,956.044,1.0,55.724,1111.406,1.0,65.517,1264.264,1.0,94.582,1399.212,1.0,122.249,1500.868,1.0
211,892.212,661.285,1.0,797.398,607.192,1.0,647.616,556.041,1.0,468.37,553.743,1.0,278.585,632.32,1.0,141.435,779.93,1.0,76.414,949.919,1.0,57.433,1108.654,1.0,65.598,1263.793,1.0,95.135,1400.114,1.0,121.929,1500.616,1.0
212,898.405,675.56,1.0,806.355,618.302,1.0,655.408,563.019,1.0,476.111,560.067,1.0,289.838,632.843,1.0,146.982,778.26,1.0,74.726,956.368,1.0,54.812,1109.537,1.0,65.057,1263.96,1.0,94.373,1401.525,1.0,121.914,1500.732,1.0
213,906.854,690.8,1.0,814.314,631.599,1.0,667.301,571.053,1.0,486.998,566.459,1.0,294.19,633.411,1.0,149.594,778.688,1.0,74.753,956.348,1.0,54.323,1110.371,1.0,64.901,1263.564,1.0,94.391,1400.665,1.0,122.02,1500.843,1.0
214,908.527,702.427,1.0,820.832,640.024,1.0,679.205,574.567,1.0,491.331,568.191,1.0,295.884,632.863,1.0,150.285,775.26,1.0,76.327,949.59,1.0,54.187,1109.831,1.0,64.248,1265.385,1.0,94.548,1400.919,1.0,122.049,1500.888,1.0
215,915.639,716.344,1.0,829.608,650.345,1.0,680.775,585.443,1.0,498.71,572.83,1.0,297.006,634.293,1.0,153.61,774.319,1.0,76.589,947.852,1.0,54.003,1110.237,1.0,64.114,1265.038,1.0,94.058,1401.947,1.0,122.255,1500.804,1.0
216,922.764,730.462,1.0,833.64,660.487,1.0,694.296,590.346,1.0,503.459,572.349,1.0,310.392,630.784,1.0,155.746,772.556,1.0,76.017,947.157,1.0,52.938,1107.722,1.0,63.332,1265.64,1.0,94.32,1401.813,1.0,122.557,1500.591,1.0
217,924.224,740.347,1.0,844.036,672.868,1.0,697.802,595.098,1.0,515.073,576.435,1.0,312.893,628.578,1.0,156.519,771.498,1.0,76.243,946.337,1.0,53.049,1109.129,1.0,63.431,1266.519,1.0,94.206,1401.446,1.0,122.621,1500.671,1.0
218,929.616,754.147,1.0,851.598,683.986,1.0,712.451,604.472,1.0,520.309,576.911,1.0,326.358,627.58,1.0,162.948,765.161,1.0,75.511,941.103,1.0,52.542,1108.447,1.0,63.266,1267.133,1.0,94.462,1401.749,1.0,122.77,1500.825,1.0
219,933.927,770.483,1.0,859.755,698.059,1.0,718.459,611.555,1.0,526.377,579.56,1.0,327.9,626.594,1.0,167.798,763.485,1.0,75.712,941.111,1.0,52.21,1109.702,1.0,59.966,1264.888,1.0,94.962,1400.997,1.0,122.872,1500.981,1.0
220,938.568,780.852,1.0,868.696,706.075,1.0,727.975,620.599,1.0,537.515,581.902,1.0,330.91,630.927,1.0,170.881,761.562,1.0,76.122,939.904,1.0,50.935,1115.187,1.0,59.691,1264.862,1.0,94.759,1400.02,1.0,123.847,1511.156,1.0
221,939.657,794.593,1.0,871.911,714.403,1.0,731.452,625.526,1.0,544.449,581.824,1.0,340.085,631.725,1.0,173.282,760.481,1.0,75.929,939.747,1.0,51.175,1111.479,1.0,59.456,1266.076,1.0,94.392,1400.579,1.0,123.772,1511.19,1.0
222,940.562,802.773,1.0,872.407,720.677,1.0,739.794,629.696,1.0,543.874,589.681,1.0,344.532,630.406,1.0,174.213,760.184,1.0,76.093,939.373,1.0,49.884,1110.491,1.0,59.008,1268.152,1.0,95.258,1396.417,1.0,123.855,1511.723,1.0
223,941.282,812.256,1.0,876.975,730.348,1.0,742.478,630.916,1.0,553.017,589.989,1.0,344.195,629.179,1.0,180.661,753.734,1.0,77.271,934.962,1.0,46.592,1110.844,1.0,58.863,1268.769,1.0,93.903,1400.996,1.0,124.144,1509.91,1.0
224,946.984,820.341,1.0,882.253,736.049,1.0,745.308,636.252,1.0,556.277,591.919,1.0,347.943,629.501,1.0,182.473,751.766,1.0,75.869,939.602,1.0,49.865,1109.251,1.0,59.133,1271.561,1.0,94.219,1397.504,1.0,124.054,1511.629,1.0
