scorer,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,139.897,324.057,0.9950000047683716,123.71,420.067,0.9959999918937683,115.637,523.579,0.9990000128746033,107.953,651.928,0.9679999947547913,99.706,771.315,0.9990000128746033,100.526,876.511,0.9879999756813049,99.355,1011.78,0.9980000257492065,98.996,1124.305,0.9990000128746033,99.047,1251.883,0.9980000257492065,106.418,1363.687,0.9980000257492065,115.175,1436.521,0.9959999918937683
19,139.903,323.918,0.9940000176429749,123.732,420.199,0.9959999918937683,115.576,523.503,0.9990000128746033,107.74,659.553,0.9860000014305115,99.537,771.672,0.9990000128746033,100.25,883.652,0.9929999709129333,99.242,1012.384,0.9990000128746033,99.127,1124.073,0.9990000128746033,99.288,1252.147,0.9990000128746033,106.361,1363.637,0.9980000257492065,115.226,1436.521,0.9959999918937683
20,139.911,323.988,0.9929999709129333,123.723,420.284,0.9959999918937683,115.622,523.493,0.9990000128746033,107.92,651.855,0.9819999933242798,99.59,771.619,0.9990000128746033,100.184,883.993,0.9940000176429749,99.29,1012.273,0.9980000257492065,99.048,1124.122,0.9990000128746033,99.317,1251.89,0.9980000257492065,106.664,1355.796,0.9909999966621399,115.164,1436.509,0.9959999918937683
21,139.909,324.068,0.9929999709129333,123.714,420.187,0.996999979019165,115.605,523.578,0.9990000128746033,107.944,651.838,0.9829999804496765,99.371,771.595,0.9990000128746033,92.511,892.239,0.9869999885559082,99.25,1012.215,0.9980000257492065,98.971,1124.189,0.9990000128746033,99.217,1251.876,0.9990000128746033,106.488,1355.796,0.9909999966621399,115.149,1436.53,0.9959999918937683
22,139.901,324.051,0.9929999709129333,123.73,420.216,0.9959999918937683,115.588,523.486,0.9990000128746033,107.882,651.818,0.9670000076293945,99.638,772.149,0.9990000128746033,92.84,899.939,0.9929999709129333,99.243,1012.241,0.9990000128746033,98.997,1124.188,0.9990000128746033,99.172,1252.064,0.9980000257492065,106.835,1355.792,0.9909999966621399,115.171,1436.469,0.9959999918937683
23,139.876,324.075,0.9940000176429749,123.757,427.88,0.9869999885559082,115.579,523.452,0.9990000128746033,107.953,651.925,0.9800000190734863,99.763,771.925,0.9990000128746033,100.0,899.685,0.9990000128746033,92.159,1012.259,0.9980000257492065,98.9,1124.323,0.9990000128746033,98.995,1251.881,0.9980000257492065,106.644,1355.769,0.9919999837875366,108.001,1436.354,0.9869999885559082
24,139.866,324.119,0.9919999837875366,123.704,420.179,0.9959999918937683,115.557,523.445,0.9990000128746033,107.883,651.829,0.9779999852180481,99.643,772.046,0.9990000128746033,92.556,892.233,0.9869999885559082,92.137,1012.248,0.9980000257492065,98.994,1124.294,0.9990000128746033,98.948,1251.698,0.9990000128746033,106.524,1348.186,0.9980000257492065,107.842,1436.372,0.9869999885559082
25,139.86,324.028,0.9940000176429749,123.719,420.18,0.9959999918937683,115.603,523.432,0.9990000128746033,107.891,651.83,0.9819999933242798,99.821,772.311,0.9990000128746033,99.959,892.089,0.996999979019165,92.231,1012.198,0.9980000257492065,98.914,1124.253,0.9990000128746033,98.842,1251.612,0.9980000257492065,106.939,1355.771,0.9919999837875366,115.192,1436.395,0.9959999918937683
26,139.873,324.132,0.9940000176429749,123.73,420.206,0.9959999918937683,115.583,523.478,0.9990000128746033,107.807,643.901,0.9819999933242798,99.767,772.1,0.9990000128746033,92.62,892.251,0.9869999885559082,92.231,1012.214,0.9980000257492065,98.958,1124.335,0.9990000128746033,98.843,1251.682,0.9980000257492065,106.63,1355.775,0.9909999966621399,115.253,1436.503,0.9959999918937683
27,139.846,324.112,0.9940000176429749,123.719,420.119,0.9959999918937683,115.579,523.48,0.9990000128746033,107.765,643.614,0.9929999709129333,99.907,772.408,0.9990000128746033,92.644,892.261,0.9869999885559082,92.231,1012.22,0.9980000257492065,99.034,1124.286,0.9990000128746033,98.831,1251.659,0.9980000257492065,106.765,1355.77,0.9909999966621399,115.245,1436.497,0.9959999918937683
