scorer,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point10,point10,point11,point11,point12,point12,point2,point2,point3,point3,point4,point4,point5,point5,point6,point6,point7,point7,point8,point8,point9,point9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
24,1.396538656349717,1.0,0.7244793261841167,1.0,1.359318404813751,1.0,1.027813519870471,1.0,0.9595789150806147,1.0,1.2891140590204113,1.0,0.3916778890133105,1.0,2.321688353388162,1.0,1.1524093846836336,1.0,0.49219362778932335,1.0,3.231995919638608,1.0,3.1954606014364577,1.0
25,1.0495614974258027,1.0,0.5872963132638396,1.0,1.0847038345052633,1.0,0.05448232112971477,1.0,0.910414768743783,1.0,0.5646368204941967,1.0,0.24354111640425172,1.0,2.175149345380346,1.0,1.9090455697852693,1.0,1.3299869681141117,1.0,3.5974738761537197,1.0,2.3796323591911483,1.0
26,1.1570722902401138,1.0,0.4139665234361749,1.0,1.160327851801837,1.0,0.7000518075653547,1.0,0.42166095672836035,1.0,0.7759852254025239,1.0,0.5097759370751078,1.0,2.397225276600788,1.0,1.8080529291739373,1.0,1.19286568732518,1.0,3.929854797620913,1.0,2.283161133011584,1.0
27,1.099742197758279,1.0,0.929835709391916,1.0,2.101059138283898,1.0,0.6302434186998173,1.0,0.5217783540836968,1.0,0.3037882628846663,1.0,0.7198922508463621,1.0,1.5604453136470344,1.0,1.4247866904037385,1.0,1.6119956676723821,1.0,1.9539412460483443,1.0,1.1880132139797328,1.0
28,1.231193117782543,1.0,1.0555868170130873,1.0,2.60184209651348,1.0,0.6161541196219368,1.0,0.7871052795780147,1.0,0.6061849443446452,1.0,0.5303883025208117,1.0,1.971299448927163,1.0,1.4902140034178613,1.0,1.1561508882729468,1.0,1.8675507351346294,1.0,0.909543804058074,1.0
29,1.0306662220936382,1.0,0.7177037194406556,1.0,1.5700782852275572,1.0,2.2961401653191658,1.0,1.1991232944424435,1.0,0.7734704619147347,1.0,0.6404013962846618,1.0,1.8049302160274303,1.0,1.1004247175931345,1.0,0.7777752564102035,1.0,1.913907707617629,1.0,1.3557625287531323,1.0
30,1.3481357381731498,1.0,1.2167861375594708,1.0,3.0673475165169077,1.0,1.2580637063763667,1.0,1.5947232076480413,1.0,1.0020740568443642,1.0,1.1619919167832016,1.0,2.1855261578061733,1.0,1.4494400435996255,1.0,1.1655564956164157,1.0,2.016343650254944,1.0,0.628353125464713,1.0
31,1.2103507699825018,1.0,0.9626204377988957,1.0,2.7659588312178984,1.0,1.2452686222329161,1.0,0.9877484948834542,1.0,0.7018235074835105,1.0,1.214274181108288,1.0,2.7261693854368207,1.0,1.3093149274235574,1.0,1.626900482535935,1.0,2.512712701703263,1.0,0.8307536239069739,1.0
32,1.4558284977435383,1.0,1.3196864805432122,1.0,3.155542665749875,1.0,1.840560090847657,1.0,1.9402929014749046,1.0,0.5616261684276002,1.0,0.29500928068589993,1.0,1.157351816848395,1.0,2.0713875637579786,1.0,0.8331428150458912,1.0,0.49455598975576803,1.0,1.3410435086421708,1.0
33,1.6260635969507353,1.0,1.456186465640604,1.0,1.7794755462072054,1.0,0.464670769342516,1.0,1.62561569155364,1.0,0.521879593067862,1.0,0.6604176423677504,1.0,1.3982358074968306,1.0,1.2946117891358877,1.0,0.894624111724892,1.0,0.519633770450628,1.0,1.0969754402693337,1.0
