scorer,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000
17,143.9,250.893,1.0,126.178,349.779,1.0,123.777,389.028,1.0,120.179,427.56,1.0,114.321,479.704,1.0,107.982,540.588,1.0,104.781,603.086,1.0,99.601,668.71,1.0,95.511,739.556,1.0,93.864,811.333,1.0,90.126,885.571,1.0,90.62,954.922,1.0,90.483,1019.985,1.0,90.345,1089.056,1.0,87.711,1147.1,1.0,92.642,1203.912,1.0,93.22,1260.905,1.0,97.761,1314.555,1.0,102.779,1367.156,1.0,106.843,1417.619,1.0,116.339,1533.788,1.0
18,143.725,246.33,1.0,126.211,349.836,1.0,123.694,388.966,1.0,120.377,426.456,1.0,114.387,478.938,1.0,107.627,540.842,1.0,104.629,603.128,1.0,99.456,669.145,1.0,95.636,739.856,1.0,93.83,811.269,1.0,90.044,884.887,1.0,90.527,954.764,1.0,90.493,1019.977,1.0,90.332,1088.775,1.0,87.737,1147.085,1.0,92.706,1204.134,1.0,93.267,1261.018,1.0,97.809,1314.408,1.0,103.228,1371.038,1.0,106.842,1417.694,1.0,116.199,1533.794,1.0
19,143.701,250.987,1.0,128.75,348.77,1.0,123.585,389.802,1.0,120.069,428.327,1.0,114.72,480.268,1.0,107.318,541.536,1.0,105.468,603.43,1.0,98.696,673.237,1.0,95.933,740.592,1.0,93.817,811.86,1.0,89.988,883.972,1.0,90.328,954.004,1.0,90.531,1020.026,1.0,90.221,1091.1,1.0,87.63,1147.118,1.0,92.711,1204.12,1.0,93.391,1260.916,1.0,98.022,1313.772,1.0,102.802,1366.9,1.0,106.838,1417.684,1.0,116.123,1533.789,1.0
20,144.831,246.641,1.0,128.775,348.724,1.0,123.684,389.336,1.0,120.382,427.961,1.0,114.853,480.581,1.0,107.605,541.924,1.0,105.557,603.572,1.0,99.118,674.419,1.0,95.93,740.617,1.0,93.783,811.897,1.0,90.049,883.746,1.0,90.138,954.148,1.0,90.447,1020.039,1.0,90.223,1091.443,1.0,87.611,1147.151,1.0,92.729,1204.253,1.0,93.576,1260.957,1.0,97.859,1314.786,1.0,103.247,1370.991,1.0,106.85,1417.634,1.0,115.953,1533.678,1.0
21,144.542,246.465,1.0,128.785,348.649,1.0,123.821,388.865,1.0,120.553,427.342,1.0,115.116,479.471,1.0,107.836,541.986,1.0,105.998,603.693,1.0,99.359,674.714,1.0,95.952,740.14,1.0,93.813,811.675,1.0,89.928,883.475,1.0,90.169,954.312,1.0,90.46,1020.051,1.0,90.303,1092.754,1.0,87.513,1147.305,1.0,92.736,1204.374,1.0,93.636,1261.063,1.0,97.973,1315.069,1.0,102.904,1367.32,1.0,106.874,1417.533,1.0,115.99,1533.569,1.0
22,144.077,246.414,1.0,128.736,348.67,1.0,123.825,388.797,1.0,120.677,426.914,1.0,114.582,478.905,1.0,107.948,541.675,1.0,105.805,603.481,1.0,99.36,675.415,1.0,95.979,740.597,1.0,93.814,811.866,1.0,89.979,883.857,1.0,90.198,954.351,1.0,90.462,1020.051,1.0,90.286,1092.778,1.0,87.523,1147.291,1.0,92.747,1204.386,1.0,93.638,1261.069,1.0,97.819,1315.365,1.0,103.358,1371.116,1.0,106.902,1417.666,1.0,116.041,1533.665,1.0
23,144.038,246.214,1.0,128.875,348.646,1.0,123.968,388.4,1.0,120.67,426.257,1.0,114.482,478.551,1.0,108.7,540.092,1.0,105.339,603.319,1.0,99.32,674.496,1.0,96.064,740.378,1.0,93.855,811.785,1.0,89.941,883.466,1.0,90.151,954.24,1.0,90.5,1020.073,1.0,90.267,1093.097,1.0,87.513,1147.351,1.0,92.78,1204.456,1.0,93.602,1261.079,1.0,97.759,1316.033,1.0,103.375,1371.235,1.0,106.882,1417.722,1.0,116.05,1533.648,1.0
24,144.082,246.176,1.0,128.748,348.641,1.0,123.829,388.536,1.0,120.741,426.081,1.0,114.375,478.538,1.0,108.844,539.824,1.0,105.292,603.386,1.0,99.487,674.12,1.0,96.401,740.844,1.0,93.772,811.535,1.0,89.768,882.694,1.0,90.134,954.234,1.0,90.498,1020.076,1.0,90.261,1093.06,1.0,87.502,1147.274,1.0,92.708,1204.147,1.0,93.529,1260.903,1.0,97.7,1316.464,1.0,103.327,1371.268,1.0,106.878,1417.634,1.0,116.045,1533.683,1.0
25,144.174,246.357,1.0,128.59,348.828,1.0,123.65,389.305,1.0,120.762,426.555,1.0,114.238,479.884,1.0,108.6,541.102,1.0,104.972,603.402,1.0,99.394,674.277,1.0,96.429,740.778,1.0,93.674,812.068,1.0,89.94,883.71,1.0,90.087,953.898,1.0,90.442,1020.015,1.0,90.282,1093.245,1.0,87.445,1147.334,1.0,92.722,1204.215,1.0,93.526,1260.91,1.0,97.666,1316.366,1.0,103.421,1371.345,1.0,106.844,1417.879,1.0,115.977,1533.652,1.0
26,144.247,250.909,1.0,128.774,348.826,1.0,123.665,389.044,1.0,120.835,426.356,1.0,114.47,480.749,1.0,108.708,541.116,1.0,104.934,603.388,1.0,100.057,674.452,1.0,96.43,740.395,1.0,93.781,811.885,1.0,90.018,884.516,1.0,90.137,954.052,1.0,90.396,1020.016,1.0,90.29,1093.102,1.0,87.407,1147.434,1.0,92.748,1204.337,1.0,93.52,1260.911,1.0,97.609,1316.287,1.0,103.33,1371.225,1.0,106.856,1417.732,1.0,115.957,1533.646,1.0
