scorer,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
25,1.1157677347787964,1.0,0.9369411728394176,1.0,1.2483336277629136,1.0,1.460337589302387,1.0,0.6357421062111925,1.0,1.0130564518437861,1.0,0.7978661263757147,1.0,1.3089151084315764,1.0,1.5598739828403272,1.0,0.12434304576794074,1.0,3.9174456229845815,1.0,2.840413672282504,1.0
26,1.1378632486986553,1.0,3.41030271167546,1.0,2.0263286551845665,1.0,1.3770737620321458,1.0,0.6165354802346505,1.0,0.6800146736381673,1.0,0.7716602103541397,1.0,1.6515527101288747,1.0,1.5671443024962284,1.0,0.7757968824587642,1.0,1.6240618790523949,1.0,2.640828381732882,1.0
27,1.0920903865465872,1.0,1.3658119375610782,1.0,1.490646207220127,1.0,0.6600328506760924,1.0,0.7383713824607466,1.0,1.03739519057006,1.0,0.7476780113140217,1.0,1.0318290853467553,1.0,1.4284816577224952,1.0,0.5278751195816526,1.0,2.493558894486875,1.0,0.6458149439154107,1.0
28,1.1161454170828342,1.0,4.855440426973164,1.0,1.4809726247893753,1.0,2.1364278368821834,1.0,0.7794253461456992,1.0,0.7161716477744288,1.0,1.070544157454463,1.0,2.0718472632171854,1.0,1.5179449358324935,1.0,2.062567148399299,1.0,1.6929424760003813,1.0,1.8771985526744677,1.0
29,0.9469321255894987,1.0,0.9658668718263927,1.0,2.589277382977449,1.0,0.6403068764889759,1.0,0.5440497679436144,1.0,1.0428890399312993,1.0,0.8392329237680319,1.0,2.588074377509796,1.0,1.5320317215471018,1.0,1.971448181716789,1.0,2.658782823072535,1.0,0.4639910852651511,1.0
30,0.9437178904848147,1.0,1.0603166329611784,1.0,0.9214503756943866,1.0,0.8843632850947108,1.0,0.7875895858173726,1.0,0.8845687220620831,1.0,0.5207006137599266,1.0,2.24879866071555,1.0,0.8475911848115137,1.0,0.7709875430447337,1.0,0.9607705649767698,1.0,1.4552588543227774,1.0
31,0.9874719333357055,1.0,0.993652123666871,1.0,0.9102858289275922,1.0,2.172337921751029,1.0,0.9018780885712931,1.0,1.1607834385991616,1.0,0.7521513888637373,1.0,2.051277447062546,1.0,0.6530124988361031,1.0,1.4321143895847335,1.0,1.7066811338480283,1.0,1.9405958115208706,1.0
32,1.0069570110750157,1.0,1.6703345165239307,1.0,1.26584990076923,1.0,2.0662821291940663,1.0,0.8108343357575898,1.0,1.1330386506641303,1.0,0.26118461574229174,1.0,1.2156996883067912,1.0,1.032951942486973,1.0,1.7861666932036755,1.0,1.0213464996533985,1.0,2.3338615340721365,1.0
33,0.8633497316077398,1.0,2.7532136795582116,1.0,1.1326921167208925,1.0,1.5429796475814435,1.0,0.8220431750610998,1.0,0.5305055450426217,1.0,0.8588652608425937,1.0,1.5968880847905464,1.0,2.2244728282735533,1.0,2.1555426836669276,1.0,0.6819203225320465,1.0,2.4128788686110374,1.0
34,0.891854469249933,1.0,2.733925503790698,1.0,1.2208167090185842,1.0,1.8908061866574084,1.0,0.7907048765230359,1.0,0.5918183529688753,1.0,0.8634731846323184,1.0,1.3057028447818502,1.0,2.4572035060756154,1.0,1.883979805905363,1.0,0.8523512675040893,1.0,2.8034520346905345,1.0
35,0.9479317220108708,1.0,2.226762477444375,1.0,0.2878114389593211,1.0,1.6699562648368211,1.0,0.710798860090768,1.0,0.7088398981575185,1.0,0.8323115761156193,1.0,1.2858409755136917,1.0,2.5682648548292955,1.0,1.32686703926163,1.0,0.4235320949457759,1.0,1.4092728121387883,1.0
36,0.932885856770527,1.0,2.301239096921118,1.0,0.12080384887763465,1.0,1.6126642587434974,1.0,0.7758324443232214,1.0,0.7182561916101857,1.0,0.8192774691487951,1.0,1.404374818561347,1.0,2.4646856493819027,1.0,1.5647268011204196,1.0,0.37489354791135804,1.0,1.6824351239539184,1.0
37,0.9967689977363927,1.0,1.0282066688622278,1.0,1.743261778650772,1.0,2.1809216937261957,1.0,0.6055923260781804,1.0,1.400729770727635,1.0,1.1602492394692578,1.0,1.1564634331675567,1.0,2.5805713466527784,1.0,2.265972301836462,1.0,1.542177895707521,1.0,0.8113221353141079,1.0
38,0.9609550805225,1.0,0.5442275479399377,1.0,2.0189022453084773,1.0,1.2836642803718812,1.0,0.6054315491390168,1.0,1.5093792362736123,1.0,0.7137142248310944,1.0,1.3944122183575707,1.0,2.6651306890408573,1.0,2.217869027628868,1.0,1.5905252016663636,1.0,0.7140635173848384,1.0
39,0.9026612816767203,1.0,1.0061223123619734,1.0,0.2437772282103258,1.0,2.7498109642267123,1.0,0.6677581941350172,1.0,1.1543098126659443,1.0,0.48117946930317945,1.0,1.3450684452909145,1.0,2.3495232532073924,1.0,3.033381302092688,1.0,2.0826511051528342,1.0,0.800916800604334,1.0
40,0.9946069625956394,1.0,1.3719690663973998,1.0,0.6197999038852823,1.0,2.4795232866658403,1.0,0.634958026878896,1.0,1.1416449207447015,1.0,0.5397560028761093,1.0,1.2763221288030877,1.0,2.2454821200455375,1.0,2.958191399291558,1.0,1.7392461480871775,1.0,0.8043345975588297,1.0
41,0.9069186640315312,1.0,0.9539791415101345,1.0,1.698784959165688,1.0,0.5730587898444107,1.0,0.7926012943875017,1.0,0.8829928425134219,1.0,0.40203419990540884,1.0,1.6873696663873372,1.0,1.961092628677219,1.0,1.110071661044261,1.0,3.3623963368138456,1.0,1.5359007821813087,1.0
42,0.9536245751637389,1.0,0.835400734528561,1.0,1.376082531066015,1.0,0.9493430228925677,1.0,0.7583084375757305,1.0,0.8902594307675515,1.0,0.4492705870559263,1.0,1.5745248772770215,1.0,2.0936533608843124,1.0,1.3020427420504492,1.0,3.2804160002416447,1.0,1.3456889237494718,1.0
43,0.8940389544832926,1.0,1.8533986347509113,1.0,1.7248002325404153,1.0,0.9319733725996888,1.0,0.8782120465917168,1.0,0.7870309009640724,1.0,0.6854925560572014,1.0,0.6762092115794924,1.0,2.2171797172845333,1.0,0.33670051199717205,1.0,1.5484121891897966,1.0,1.8407945575313955,1.0
44,0.9937701493067385,1.0,1.1252430521538612,1.0,1.6887275156397106,1.0,0.5265731420924589,1.0,0.9260622345739965,1.0,0.7062673844376272,1.0,0.8516180591684435,1.0,0.9932958624125603,1.0,2.1059833404508232,1.0,0.575172904467056,1.0,1.6201464010558393,1.0,1.732284149756652,1.0
45,0.8879278454224538,1.0,1.8576107600645297,1.0,1.673667861150557,1.0,0.3181253869527729,1.0,1.2398013581577991,1.0,0.8104353123802716,1.0,0.5003845458724293,1.0,0.4253459374717263,1.0,1.2693210643645232,1.0,0.13759217164685958,1.0,2.2377498784801677,1.0,2.2996328909258277,1.0
46,0.9182500918786415,1.0,1.7092903163850797,1.0,1.50040582391092,1.0,0.41105685898186356,1.0,1.2337756202417949,1.0,0.8098948829067707,1.0,0.5432776667518406,1.0,0.4159826847525503,1.0,1.2488089785191958,1.0,0.14249619473147354,1.0,2.3161139204949044,1.0,1.5297143784492326,1.0
47,0.9461599299648604,1.0,1.1162710676543643,1.0,2.0452275804828575,1.0,0.9347802089554152,1.0,1.0196975354573827,1.0,0.7899703430704105,1.0,1.9009766260403091,1.0,0.23955541974615943,1.0,2.0017406397598516,1.0,1.478700352101411,1.0,1.3181431955702263,1.0,1.9830583450329786,1.0
48,0.9582403300129183,1.0,0.5303058845830588,1.0,2.109587716562893,1.0,1.09458074650176,1.0,1.2073222131505272,1.0,0.9681809506160833,1.0,1.3605802256670414,1.0,0.9000911356899954,1.0,1.3000216046690958,1.0,1.311699371918424,1.0,1.3149660183958816,1.0,2.989041487184416,1.0
49,0.7423066564117043,1.0,2.4913129060920154,1.0,3.0616721698826868,1.0,0.6148086311859638,1.0,0.9324038128484599,1.0,0.5284999117703816,1.0,1.7987170722527686,1.0,1.545662753101267,1.0,0.5243612741116657,1.0,2.5973937935879756,1.0,1.9436112907341812,1.0,1.205121098488394,1.0
50,0.7555295785909062,1.0,2.2254087967083573,1.0,2.922918692482813,1.0,0.25511597434504024,1.0,1.1218489874898114,1.0,0.6436369378892937,1.0,2.072993376643362,1.0,1.5684316229892161,1.0,0.7125062120664752,1.0,2.6121122714625304,1.0,1.7011870248626844,1.0,1.0670016880859718,1.0
51,0.3838986285679975,1.0,1.578548340505305,1.0,1.4949092745184371,1.0,1.2180280039997544,1.0,1.3046922882488832,1.0,1.1211398689277434,1.0,2.19349965799509,1.0,2.3327337348051267,1.0,1.6460084624783764,1.0,2.262134939916951,1.0,2.1791058026993695,1.0,0.7813934267567471,1.0
52,0.4392138710205648,1.0,1.36440033850855,1.0,2.210177860617706,1.0,1.4434787482426614,1.0,1.499753349301057,1.0,1.3501172942520114,1.0,1.7743660723224532,1.0,2.6905085329318554,1.0,1.4077841416072858,1.0,2.3449116904485665,1.0,1.9142429722935526,1.0,0.9401453398983445,1.0
53,0.5787839270941234,1.0,0.7964029198230952,1.0,2.1390112942695914,1.0,1.6060498284214395,1.0,1.4092451118863194,1.0,1.143586477871183,1.0,1.918623786432163,1.0,1.371435625097419,1.0,2.882448602760956,1.0,1.859079769844837,1.0,3.349839032758951,1.0,1.3086777831527647,1.0
54,0.7448347907505979,1.0,1.122233493979554,1.0,1.527883392767029,1.0,1.645900496029616,1.0,1.457418673726543,1.0,1.211447470094976,1.0,2.0372225055417816,1.0,1.5895089229215036,1.0,3.4432313109410306,1.0,2.2133105343151565,1.0,2.933073559410263,1.0,1.4917752306510896,1.0
55,0.9319728482775359,1.0,0.3558065243115136,1.0,2.3686538904213763,1.0,0.9220870593102402,1.0,1.21952235126457,1.0,1.2357059649780953,1.0,1.9981528654745657,1.0,0.5860519229391452,1.0,1.6030193072243177,1.0,2.5254952069560623,1.0,1.1572196581260623,1.0,1.0344908857284514,1.0
56,0.9570489831442752,1.0,0.9299492146875076,1.0,2.2941518992357,1.0,1.2203778930921572,1.0,1.2150913654801172,1.0,0.9334570223873103,1.0,1.598239230020811,1.0,0.6722146259590851,1.0,1.5256530410675946,1.0,2.7733131731901293,1.0,0.9750404799842368,1.0,0.998447922641689,1.0
57,0.9008604967227013,1.0,1.4322216017986196,1.0,2.0740487756069483,1.0,1.3574524047499708,1.0,0.7391857280159201,1.0,0.6640250317465557,1.0,1.8336531598695933,1.0,1.959886323259238,1.0,2.9864165396184683,1.0,1.865716626437271,1.0,0.5140340834849829,1.0,0.870954411226005,1.0
58,0.9879767842690845,1.0,1.5763509262018816,1.0,2.2077797314033623,1.0,2.5410570961084185,1.0,0.7901515503428846,1.0,0.7228601971420034,1.0,2.2683377026811486,1.0,2.179525592934129,1.0,2.368073348159207,1.0,1.9461590093154013,1.0,0.49838788403608725,1.0,0.8441355961404269,1.0
59,1.0007597964546753,1.0,2.9401703184861074,1.0,1.206861915525958,1.0,1.1237264994225113,1.0,0.9481243308771523,1.0,0.5165322059872631,1.0,1.1813316213054657,1.0,2.2972346565800557,1.0,1.6757572180330689,1.0,1.6305353506606197,1.0,0.3088463872181731,1.0,1.9563453734828324,1.0
60,0.9238330259039123,1.0,3.2499320251676984,1.0,1.6006309307383912,1.0,1.4843421960672871,1.0,0.9981783792275373,1.0,0.5321069983684801,1.0,1.1931512050263193,1.0,2.525173457360066,1.0,1.4790120557373794,1.0,1.6431556088664239,1.0,0.6815948156736304,1.0,2.282362136794389,1.0
61,0.9703778713309321,1.0,1.768693684966248,1.0,0.9421845899096291,1.0,0.6906336585056361,1.0,0.8429800055576745,1.0,1.0752175742987566,1.0,0.8102931759343162,1.0,2.017457592808754,1.0,1.5425453398283264,1.0,1.4716880913172052,1.0,1.5267158439929733,1.0,1.850410441133725,1.0
