scorer,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
49,1.4813619004130087,1.0,3.237402841471107,1.0,2.157730893547051,1.0,1.2642920688141561,1.0,2.448271940548809,1.0,1.8472668587888783,1.0,1.8442214076943746,1.0,0.7220101377964238,1.0,2.7585321702747665,1.0,1.9290039562398966,1.0,2.143670132768563,1.0,3.3741214713042607,1.0
50,1.5867208294258925,1.0,2.813934637137343,1.0,1.8700342707500601,1.0,3.186790544310393,1.0,1.7982229690345133,1.0,3.2594254109217116,1.0,0.8267627379818504,1.0,1.5662168318284193,1.0,2.7324679820966065,1.0,1.9149047826010774,1.0,2.7176457580153546,1.0,3.1938974997073615,1.0
51,2.316966912149436,1.0,4.233563282615082,1.0,0.7982818039294746,1.0,2.5555854135248546,1.0,2.640697246716797,1.0,2.9879328315402094,1.0,1.3994068265512463,1.0,2.40916158870465,1.0,1.176035759270473,1.0,1.7856741327748444,1.0,2.1107724495895077,1.0,2.1188448653117264,1.0
52,1.5618100929800476,1.0,3.8092192101267113,1.0,0.49932351609184145,1.0,2.4363660164607555,1.0,2.317409894351605,1.0,1.8078862330749086,1.0,1.2313622403701114,1.0,3.0602556867305166,1.0,1.4731059389738559,1.0,2.1026651142720016,1.0,2.3066780299409686,1.0,2.2040063310813696,1.0
53,1.7632349363983029,1.0,4.428156731017927,1.0,1.3728759669553823,1.0,1.2093277279320491,1.0,2.511528276961329,1.0,1.6966021820943251,1.0,0.43985584398805727,1.0,2.356021333052992,1.0,1.2863401406225263,1.0,1.7637041292099962,1.0,1.6241832296763459,1.0,2.8737067481336576,1.0
54,2.160572302848635,1.0,4.956690128049786,1.0,0.8842417534482547,1.0,2.9454686700360067,1.0,2.7789051645771705,1.0,2.2965227367833227,1.0,0.8588783483843687,1.0,2.3032591486741687,1.0,2.8732139629842575,1.0,2.0306088199035206,1.0,1.2790401451438587,1.0,2.340086579250759,1.0
55,1.3535191589283597,1.0,0.5545620365903396,1.0,1.2194690122253977,1.0,2.8468768418412798,1.0,2.1887808809888325,1.0,1.9486601549849256,1.0,3.5425443381816097,1.0,2.23395722002115,1.0,2.3455238484029683,1.0,0.880419785882604,1.0,1.08453650542986,1.0,2.653384360327828,1.0
56,1.9846525043574461,1.0,0.9447250113808673,1.0,1.888713808129751,1.0,3.206735679553388,1.0,2.212020779830648,1.0,2.932471785319227,1.0,3.938926923559649,1.0,1.406364163491622,1.0,1.7583188500334062,1.0,1.0933346767797836,1.0,0.9612788672019269,1.0,3.29405199482557,1.0
57,2.100802868316617,1.0,1.0839224454368181,1.0,3.1765363070913706,1.0,2.369586942453918,1.0,2.738936294581544,1.0,1.8526411820918627,1.0,2.9339527871376188,1.0,2.0655537317970123,1.0,3.3599824037357044,1.0,0.5022718887320324,1.0,0.6756993384376719,1.0,3.440087408489946,1.0
58,1.8785842194302318,1.0,0.8716883955858096,1.0,0.6401322425503534,1.0,1.1092336199307853,1.0,2.6085526483982853,1.0,1.9219215309289315,1.0,0.7527342693075156,1.0,1.9616032746007621,1.0,3.2772213701778483,1.0,0.7704769610969285,1.0,1.1142571515767425,1.0,4.448796535347145,1.0
