scorer,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point1,point2,point2,point2,point3,point3,point3,point4,point4,point4,point5,point5,point5,point6,point6,point6,point7,point7,point7,point8,point8,point8,point9,point9,point9,point10,point10,point10,point11,point11,point11,point12,point12,point12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1943,192.072,51.403,1.0,190.984,67.548,1.0,190.838,79.957,1.0,190.878,97.841,1.0,191.002,113.307,1.0,189.663,125.073,1.0,189.809,137.983,1.0,188.733,152.979,1.0,184.651,167.417,1.0,185.014,191.061,1.0,182.009,208.565,1.0,177.54,223.721,1.0
1944,191.924,51.492,1.0,190.865,67.237,1.0,190.707,79.978,1.0,190.79,97.566,1.0,190.286,113.465,1.0,189.445,125.758,1.0,188.774,138.707,1.0,187.924,153.871,1.0,184.272,167.292,1.0,184.99,190.724,1.0,181.819,208.375,1.0,177.613,223.542,1.0
1945,191.869,51.766,1.0,190.915,66.822,1.0,190.849,80.296,1.0,190.995,96.978,1.0,190.901,112.722,1.0,190.017,125.521,1.0,189.526,138.455,1.0,186.715,149.3,1.0,184.806,167.936,1.0,185.081,191.067,1.0,181.752,208.411,1.0,177.591,223.831,1.0
1946,191.869,51.852,1.0,190.853,67.089,1.0,190.739,80.115,1.0,190.953,97.284,1.0,190.995,112.998,1.0,189.879,125.548,1.0,189.122,138.487,1.0,188.236,153.947,1.0,184.668,167.622,1.0,185.315,190.904,1.0,181.739,208.757,1.0,177.72,223.842,1.0
1947,191.905,51.471,1.0,190.832,67.282,1.0,190.666,79.685,1.0,190.798,97.703,1.0,190.73,113.652,1.0,189.666,125.794,1.0,189.082,138.609,1.0,188.274,153.92,1.0,185.388,168.006,1.0,185.446,190.903,1.0,182.109,208.504,1.0,178.515,223.409,1.0
1948,192.06,51.591,1.0,191.069,66.886,1.0,190.924,79.759,1.0,190.89,97.059,1.0,191.005,112.717,1.0,189.746,125.573,1.0,189.341,138.404,1.0,188.106,153.865,1.0,184.82,167.853,1.0,185.495,191.21,1.0,182.346,208.254,1.0,178.557,223.602,1.0
1949,192.182,51.634,1.0,191.163,66.729,1.0,191.045,79.871,1.0,190.98,96.811,1.0,191.409,112.208,1.0,190.154,125.156,1.0,189.555,138.27,1.0,188.291,153.875,1.0,184.701,167.815,1.0,185.395,191.238,1.0,182.283,208.538,1.0,178.585,223.731,1.0
1950,192.022,51.395,1.0,190.976,67.353,1.0,190.804,79.464,1.0,190.833,97.593,1.0,190.927,113.098,1.0,189.657,125.282,1.0,189.014,138.049,1.0,188.225,153.252,1.0,184.713,167.257,1.0,185.515,190.867,1.0,182.503,208.768,1.0,178.709,223.739,1.0
1951,191.985,51.274,1.0,190.98,67.455,1.0,190.822,79.466,1.0,190.7,97.675,1.0,190.767,113.26,1.0,189.629,125.261,1.0,188.947,138.082,1.0,188.185,153.344,1.0,184.762,167.409,1.0,185.445,190.905,1.0,182.012,208.431,1.0,178.037,223.444,1.0
1952,191.878,51.273,1.0,190.854,67.557,1.0,190.671,79.684,1.0,190.571,97.904,1.0,190.742,113.24,1.0,189.54,125.199,1.0,189.087,137.844,1.0,188.203,153.14,1.0,184.705,167.237,1.0,184.983,190.939,1.0,181.576,208.36,1.0,179.698,222.169,1.0
1953,191.766,51.263,1.0,190.868,67.447,1.0,190.697,79.483,1.0,190.447,97.865,1.0,190.551,113.23,1.0,189.525,125.162,1.0,188.86,137.961,1.0,187.943,153.164,1.0,184.392,167.299,1.0,184.874,190.959,1.0,181.603,208.585,1.0,178.134,223.633,1.0
1954,192.049,51.872,1.0,191.16,66.773,1.0,191.042,80.2,1.0,191.264,96.762,1.0,191.576,112.427,1.0,190.159,125.245,1.0,190.114,138.23,1.0,187.326,149.483,1.0,185.255,168.001,1.0,184.936,191.62,1.0,181.662,207.757,1.0,177.746,222.454,1.0
1955,191.897,51.962,1.0,191.237,67.345,1.0,190.908,80.887,1.0,190.668,97.432,1.0,190.597,112.703,1.0,189.625,125.183,1.0,188.768,138.293,1.0,187.742,153.804,1.0,184.25,168.125,1.0,183.439,191.38,1.0,180.722,208.013,1.0,176.824,222.626,1.0
1956,192.075,51.935,1.0,191.258,66.287,1.0,191.06,80.801,1.0,191.045,96.444,1.0,190.881,112.243,1.0,189.761,125.478,1.0,188.93,138.822,1.0,186.192,149.628,1.0,183.27,167.691,1.0,182.736,190.635,1.0,179.984,207.991,1.0,175.721,222.746,1.0
1957,191.973,51.979,1.0,191.235,66.66,1.0,190.976,80.866,1.0,190.79,96.74,1.0,190.656,112.22,1.0,189.838,125.374,1.0,188.905,138.603,1.0,186.058,149.142,1.0,183.442,167.717,1.0,182.819,190.618,1.0,180.058,208.113,1.0,175.643,222.605,1.0
1958,191.93,51.93,1.0,191.173,66.936,1.0,190.814,80.836,1.0,190.894,97.128,1.0,190.834,112.802,1.0,189.79,125.85,1.0,189.153,139.207,1.0,186.327,149.634,1.0,183.721,167.743,1.0,183.475,191.032,1.0,180.811,207.925,1.0,177.167,222.687,1.0
1959,191.89,51.423,1.0,191.121,67.171,1.0,190.962,80.028,1.0,190.854,97.484,1.0,191.194,112.946,1.0,189.836,125.0,1.0,189.901,137.617,1.0,188.94,152.989,1.0,185.232,167.555,1.0,181.747,190.778,1.0,183.129,208.257,1.0,179.153,223.529,1.0
1960,191.901,51.617,1.0,191.128,67.027,1.0,191.033,80.384,1.0,191.152,97.304,1.0,191.371,112.994,1.0,189.891,125.229,1.0,190.018,138.276,1.0,189.007,153.597,1.0,185.181,167.775,1.0,181.771,190.8,1.0,183.081,208.366,1.0,178.708,223.97,1.0
1961,192.006,51.706,1.0,191.172,67.081,1.0,190.829,80.211,1.0,190.879,97.16,1.0,191.18,112.825,1.0,189.217,125.26,1.0,189.459,138.114,1.0,188.573,153.339,1.0,184.723,167.507,1.0,181.415,190.183,1.0,182.099,208.111,1.0,177.56,223.829,1.0
1962,191.857,51.767,1.0,191.124,67.225,1.0,190.8,80.786,1.0,190.464,97.311,1.0,190.34,112.659,1.0,189.609,125.051,1.0,189.03,138.252,1.0,187.977,153.499,1.0,183.65,167.474,1.0,183.876,190.686,1.0,181.052,207.943,1.0,176.474,223.788,1.0
1963,191.844,51.712,1.0,191.011,67.021,1.0,190.673,80.893,1.0,190.474,97.203,1.0,190.295,112.756,1.0,189.531,125.706,1.0,188.674,139.367,1.0,186.036,149.813,1.0,183.896,168.678,1.0,183.021,191.402,1.0,180.447,208.076,1.0,176.619,222.775,1.0
1964,191.794,51.702,1.0,191.112,67.314,1.0,190.806,80.915,1.0,190.618,97.601,1.0,190.339,113.322,1.0,189.47,125.576,1.0,188.933,139.116,1.0,186.24,149.204,1.0,184.164,168.608,1.0,183.65,191.283,1.0,180.864,208.323,1.0,177.528,222.757,1.0
1965,191.804,51.466,1.0,191.101,67.398,1.0,190.921,80.347,1.0,191.04,97.781,1.0,190.891,113.391,1.0,189.504,125.341,1.0,189.389,138.326,1.0,188.594,153.396,1.0,185.144,168.168,1.0,185.11,190.81,1.0,182.089,207.84,1.0,178.839,222.224,1.0
1966,191.674,51.324,1.0,191.086,67.592,1.0,190.912,80.332,1.0,190.996,98.129,1.0,190.834,113.806,1.0,189.471,125.402,1.0,189.533,138.617,1.0,186.799,148.994,1.0,184.952,167.662,1.0,182.154,191.074,1.0,182.68,208.638,1.0,178.591,224.007,1.0
1967,191.635,51.216,1.0,191.089,67.562,1.0,190.982,80.401,1.0,191.066,98.204,1.0,191.088,113.695,1.0,189.777,125.163,1.0,189.895,138.33,1.0,188.875,153.425,1.0,185.273,168.052,1.0,181.914,191.317,1.0,182.458,208.469,1.0,178.534,223.691,1.0
1968,191.894,51.629,1.0,191.078,66.89,1.0,191.006,79.869,1.0,191.082,97.074,1.0,191.449,112.633,1.0,189.375,125.063,1.0,189.656,137.792,1.0,188.77,153.048,1.0,184.588,167.018,1.0,184.781,191.131,1.0,181.715,208.39,1.0,177.559,223.866,1.0
1969,191.777,51.504,1.0,190.984,67.047,1.0,190.805,79.785,1.0,190.926,97.372,1.0,191.239,112.949,1.0,189.071,125.254,1.0,189.361,138.316,1.0,188.28,153.204,1.0,184.123,167.382,1.0,184.003,191.424,1.0,181.152,208.086,1.0,178.014,222.44,1.0
1970,191.86,51.602,1.0,191.09,66.843,1.0,191.062,80.223,1.0,191.066,97.029,1.0,191.188,112.39,1.0,189.746,124.924,1.0,189.481,138.403,1.0,188.45,153.584,1.0,184.188,167.988,1.0,183.857,190.979,1.0,180.995,207.666,1.0,177.069,222.717,1.0
1971,191.823,51.659,1.0,191.028,66.89,1.0,190.927,80.189,1.0,190.905,97.015,1.0,190.829,112.568,1.0,189.453,125.105,1.0,189.385,138.545,1.0,186.817,149.134,1.0,184.175,168.113,1.0,183.813,191.362,1.0,180.904,207.545,1.0,177.053,222.794,1.0
1972,191.806,51.559,1.0,191.018,67.044,1.0,190.965,80.23,1.0,190.887,97.22,1.0,190.789,112.739,1.0,189.528,125.055,1.0,189.411,138.479,1.0,186.778,149.269,1.0,184.416,168.297,1.0,184.063,192.084,1.0,181.008,208.659,1.0,177.064,223.927,1.0
1973,191.705,51.525,1.0,191.028,67.319,1.0,191.127,80.645,1.0,191.001,97.627,1.0,190.776,113.092,1.0,189.754,125.189,1.0,189.617,138.602,1.0,186.947,149.332,1.0,185.105,168.855,1.0,184.608,192.133,1.0,181.499,208.43,1.0,177.742,224.065,1.0
1974,191.788,51.63,1.0,191.027,67.319,1.0,191.1,80.499,1.0,191.526,97.612,1.0,191.432,113.152,1.0,189.856,125.263,1.0,190.041,138.635,1.0,187.389,149.504,1.0,184.919,168.051,1.0,185.019,191.666,1.0,182.27,207.85,1.0,178.445,223.582,1.0
1975,191.758,51.648,1.0,191.036,67.268,1.0,190.93,80.393,1.0,191.054,97.445,1.0,191.332,112.586,1.0,189.653,124.687,1.0,189.278,137.526,1.0,188.389,152.958,1.0,184.023,167.031,1.0,184.932,191.037,1.0,182.04,207.847,1.0,177.685,223.348,1.0
1976,191.849,51.71,1.0,191.022,67.1,1.0,190.878,80.266,1.0,190.837,97.109,1.0,191.024,112.443,1.0,189.53,124.808,1.0,189.254,137.655,1.0,188.395,153.111,1.0,184.238,167.999,1.0,184.313,191.835,1.0,181.159,208.24,1.0,177.182,223.692,1.0
1977,191.908,51.909,1.0,191.04,67.012,1.0,190.85,80.53,1.0,191.126,97.135,1.0,190.918,112.994,1.0,189.52,125.895,1.0,188.86,139.139,1.0,186.395,149.316,1.0,184.005,168.575,1.0,183.771,191.717,1.0,180.996,207.852,1.0,177.653,222.794,1.0
1978,191.979,51.889,1.0,191.077,66.71,1.0,190.909,80.233,1.0,191.053,96.676,1.0,190.866,112.569,1.0,189.466,125.608,1.0,188.961,138.85,1.0,186.458,148.967,1.0,183.964,168.549,1.0,183.584,191.782,1.0,180.873,207.992,1.0,176.566,223.631,1.0
1979,191.95,51.737,1.0,191.199,66.627,1.0,191.202,80.239,1.0,191.067,96.607,1.0,191.144,111.807,1.0,189.786,124.754,1.0,189.469,137.844,1.0,186.964,148.921,1.0,184.429,168.44,1.0,183.933,191.981,1.0,181.226,208.223,1.0,177.399,223.672,1.0
1980,191.786,51.348,1.0,190.922,67.22,1.0,191.006,80.654,1.0,191.345,97.661,1.0,191.393,113.16,1.0,189.799,125.32,1.0,189.341,138.448,1.0,188.433,153.652,1.0,185.581,167.459,1.0,181.611,190.81,1.0,182.279,207.954,1.0,177.723,223.649,1.0
1981,191.938,51.56,1.0,190.97,66.848,1.0,190.83,80.502,1.0,191.15,96.983,1.0,191.41,112.559,1.0,189.827,125.064,1.0,189.573,138.045,1.0,188.465,153.353,1.0,185.048,167.178,1.0,181.506,190.63,1.0,182.184,208.15,1.0,177.907,223.54,1.0
1982,191.932,51.582,1.0,191.111,66.761,1.0,190.991,80.746,1.0,191.451,97.04,1.0,191.542,112.805,1.0,189.881,125.444,1.0,189.571,138.665,1.0,187.669,149.098,1.0,185.287,167.676,1.0,185.296,190.734,1.0,181.824,208.1,1.0,177.514,223.484,1.0
1983,191.905,51.562,1.0,190.956,66.949,1.0,190.712,80.563,1.0,190.887,97.26,1.0,191.175,112.555,1.0,189.979,124.89,1.0,189.35,138.033,1.0,188.263,153.411,1.0,184.142,167.118,1.0,184.375,191.093,1.0,181.205,208.295,1.0,178.271,222.353,1.0
1984,191.936,51.729,1.0,190.95,66.777,1.0,190.656,80.707,1.0,190.98,97.178,1.0,191.389,112.638,1.0,189.972,125.269,1.0,189.501,138.549,1.0,186.768,149.025,1.0,183.756,167.274,1.0,184.062,191.62,1.0,181.098,208.368,1.0,178.076,222.646,1.0
1985,191.912,51.707,1.0,190.936,66.776,1.0,190.72,80.795,1.0,190.936,97.141,1.0,191.236,112.44,1.0,190.153,125.137,1.0,189.497,138.267,1.0,186.783,148.915,1.0,183.574,167.114,1.0,184.064,191.512,1.0,181.114,208.273,1.0,178.071,222.721,1.0
1986,191.779,51.829,1.0,190.965,66.838,1.0,190.806,81.116,1.0,191.054,97.352,1.0,191.461,112.52,1.0,190.371,125.19,1.0,189.663,138.601,1.0,186.978,149.077,1.0,184.118,167.958,1.0,183.954,191.814,1.0,181.125,208.27,1.0,176.847,223.694,1.0
1987,191.708,51.823,1.0,190.988,66.935,1.0,190.8,81.111,1.0,191.197,97.605,1.0,191.335,112.978,1.0,190.385,125.472,1.0,189.698,138.988,1.0,187.024,149.136,1.0,184.614,168.203,1.0,184.736,191.684,1.0,181.9,208.368,1.0,177.982,223.735,1.0
1988,191.657,51.76,1.0,190.857,67.129,1.0,190.707,81.073,1.0,191.102,97.786,1.0,191.129,113.379,1.0,190.161,125.672,1.0,189.707,139.037,1.0,186.897,149.307,1.0,184.978,168.676,1.0,184.751,192.062,1.0,181.745,208.676,1.0,178.012,223.945,1.0
1989,191.624,51.876,1.0,190.944,67.04,1.0,190.819,81.164,1.0,191.269,97.522,1.0,191.292,113.082,1.0,190.156,125.568,1.0,189.803,138.838,1.0,187.0,149.019,1.0,185.11,168.495,1.0,184.538,191.658,1.0,181.558,208.405,1.0,177.152,223.519,1.0
1990,191.72,51.709,1.0,190.908,67.211,1.0,190.802,80.877,1.0,191.266,97.63,1.0,191.007,113.379,1.0,190.134,125.583,1.0,189.584,139.019,1.0,186.919,149.358,1.0,184.36,168.33,1.0,184.034,191.606,1.0,181.496,208.018,1.0,178.164,222.571,1.0
1991,191.758,51.737,1.0,190.966,67.221,1.0,190.784,80.925,1.0,191.119,97.643,1.0,190.889,113.265,1.0,190.191,125.271,1.0,189.718,138.637,1.0,186.783,149.077,1.0,184.447,168.586,1.0,183.878,191.811,1.0,181.199,208.325,1.0,178.114,222.482,1.0
1992,192.005,51.467,1.0,191.23,66.648,1.0,191.243,79.915,1.0,191.154,96.936,1.0,191.401,112.365,1.0,189.575,124.748,1.0,189.622,137.946,1.0,187.256,149.05,1.0,184.34,167.928,1.0,184.156,191.734,1.0,181.01,208.316,1.0,176.817,223.626,1.0
1993,191.949,51.679,1.0,191.123,66.767,1.0,191.159,80.601,1.0,191.342,97.004,1.0,191.518,112.365,1.0,190.006,124.978,1.0,189.851,138.448,1.0,187.428,149.048,1.0,184.633,168.093,1.0,184.482,191.512,1.0,181.34,208.278,1.0,177.48,223.465,1.0
1994,191.909,51.721,1.0,191.127,66.817,1.0,191.092,80.66,1.0,191.337,97.108,1.0,191.402,112.665,1.0,189.798,125.256,1.0,189.73,138.484,1.0,187.257,149.127,1.0,184.908,168.003,1.0,184.716,191.135,1.0,181.551,208.127,1.0,178.72,222.328,1.0
1995,191.886,51.87,1.0,191.085,66.919,1.0,191.036,80.794,1.0,191.274,97.262,1.0,191.252,112.727,1.0,189.82,125.24,1.0,189.611,138.429,1.0,187.328,149.026,1.0,184.981,168.164,1.0,184.857,190.894,1.0,181.604,207.956,1.0,178.521,222.25,1.0
1996,191.97,51.846,1.0,191.175,66.763,1.0,191.124,80.486,1.0,191.24,96.992,1.0,191.234,112.557,1.0,189.755,125.125,1.0,189.514,138.245,1.0,187.316,149.029,1.0,184.933,168.187,1.0,184.991,191.091,1.0,181.614,208.224,1.0,178.594,222.503,1.0
1997,191.921,51.792,1.0,191.21,66.925,1.0,191.117,80.61,1.0,191.055,97.149,1.0,190.978,112.726,1.0,189.848,125.096,1.0,189.428,138.303,1.0,187.156,149.111,1.0,184.912,168.38,1.0,184.693,191.243,1.0,181.48,208.297,1.0,177.266,223.5,1.0
1998,191.92,51.698,1.0,191.179,67.046,1.0,191.146,80.49,1.0,191.131,97.285,1.0,191.018,112.768,1.0,189.896,125.013,1.0,189.247,138.213,1.0,187.092,148.954,1.0,184.456,167.98,1.0,184.677,191.064,1.0,181.412,208.215,1.0,178.52,222.283,1.0
1999,191.916,51.711,1.0,191.12,67.079,1.0,191.042,80.539,1.0,191.145,97.306,1.0,191.248,112.833,1.0,189.86,125.253,1.0,189.474,138.344,1.0,187.071,149.08,1.0,184.708,168.322,1.0,184.46,191.402,1.0,181.378,207.755,1.0,178.182,222.22,1.0
2000,191.949,51.73,1.0,191.197,67.131,1.0,191.212,80.661,1.0,191.299,97.328,1.0,191.203,112.895,1.0,189.892,125.276,1.0,189.48,138.312,1.0,186.967,148.945,1.0,184.712,167.993,1.0,184.841,191.11,1.0,181.594,207.956,1.0,178.247,222.353,1.0
2001,191.862,51.799,1.0,191.195,67.25,1.0,191.191,80.761,1.0,191.31,97.489,1.0,191.168,113.099,1.0,189.889,125.353,1.0,189.431,138.325,1.0,188.309,153.726,1.0,184.706,167.652,1.0,184.987,190.911,1.0,181.629,208.118,1.0,176.937,223.495,1.0
2002,191.889,51.759,1.0,191.227,67.389,1.0,191.189,80.749,1.0,191.264,97.677,1.0,191.08,113.271,1.0,189.865,125.396,1.0,189.351,138.474,1.0,186.906,148.947,1.0,184.719,168.077,1.0,184.876,191.2,1.0,181.515,208.11,1.0,176.912,223.711,1.0
2003,191.941,51.797,1.0,191.329,67.402,1.0,191.291,80.78,1.0,191.315,97.701,1.0,191.068,113.278,1.0,189.913,125.352,1.0,189.296,138.463,1.0,188.143,153.741,1.0,184.672,167.764,1.0,184.918,191.045,1.0,181.583,208.094,1.0,176.911,223.626,1.0
2004,191.821,51.395,1.0,190.928,67.031,1.0,190.75,79.801,1.0,190.951,97.45,1.0,190.99,113.056,1.0,189.293,125.081,1.0,189.083,138.156,1.0,188.213,153.464,1.0,183.852,166.938,1.0,184.142,191.469,1.0,181.439,208.641,1.0,177.071,223.884,1.0
2005,191.676,51.748,1.0,191.015,67.081,1.0,190.982,80.589,1.0,191.067,97.44,1.0,191.2,112.691,1.0,189.551,125.422,1.0,189.222,138.31,1.0,188.342,153.765,1.0,183.912,167.146,1.0,184.5,191.502,1.0,181.356,208.432,1.0,176.982,223.925,1.0
2006,191.827,51.839,1.0,191.027,66.958,1.0,191.002,80.503,1.0,191.099,97.143,1.0,191.323,112.56,1.0,189.751,125.378,1.0,189.444,138.246,1.0,188.275,153.553,1.0,183.971,166.967,1.0,184.473,191.22,1.0,181.329,208.697,1.0,176.835,223.839,1.0
2007,191.864,51.825,1.0,191.075,66.882,1.0,191.003,80.282,1.0,191.18,96.985,1.0,191.572,112.312,1.0,189.746,124.984,1.0,189.745,138.027,1.0,188.449,153.369,1.0,183.884,166.967,1.0,184.47,191.512,1.0,181.552,208.404,1.0,177.52,223.768,1.0
2008,191.947,51.849,1.0,191.11,66.81,1.0,190.986,80.316,1.0,191.052,96.869,1.0,191.421,112.214,1.0,189.729,125.037,1.0,189.742,138.178,1.0,188.479,153.464,1.0,184.073,167.06,1.0,184.509,191.219,1.0,181.58,208.053,1.0,177.272,223.451,1.0
2009,192.084,51.697,1.0,190.99,66.688,1.0,190.909,79.895,1.0,190.899,96.699,1.0,191.546,111.702,1.0,189.681,124.649,1.0,189.664,137.462,1.0,188.301,153.034,1.0,183.891,166.902,1.0,184.667,191.082,1.0,181.348,208.179,1.0,176.974,223.764,1.0
2010,192.08,51.557,1.0,190.926,66.8,1.0,191.385,80.199,1.0,190.658,96.851,1.0,191.126,111.972,1.0,189.643,124.784,1.0,189.389,137.524,1.0,188.174,153.026,1.0,183.736,167.127,1.0,184.211,191.207,1.0,181.126,208.098,1.0,176.901,223.555,1.0
2011,192.06,51.802,1.0,191.103,66.777,1.0,190.848,80.022,1.0,190.871,96.851,1.0,191.308,111.935,1.0,189.739,124.841,1.0,189.604,137.806,1.0,188.328,153.34,1.0,183.923,167.541,1.0,184.206,191.596,1.0,180.914,208.317,1.0,176.977,223.85,1.0
2012,191.915,51.736,1.0,191.057,66.972,1.0,190.829,80.428,1.0,191.064,97.187,1.0,191.212,112.645,1.0,189.572,125.439,1.0,189.511,138.657,1.0,186.708,148.951,1.0,184.358,168.065,1.0,184.371,191.954,1.0,181.384,208.023,1.0,177.644,223.678,1.0
2013,191.939,51.727,1.0,191.106,66.952,1.0,190.77,80.516,1.0,191.094,97.241,1.0,191.211,112.766,1.0,189.576,125.557,1.0,189.595,138.637,1.0,186.879,149.152,1.0,184.681,168.192,1.0,184.689,191.896,1.0,181.537,208.236,1.0,177.801,223.651,1.0
2014,191.896,51.611,1.0,191.111,67.287,1.0,190.813,80.553,1.0,191.141,97.714,1.0,191.006,113.415,1.0,189.599,125.744,1.0,189.559,138.836,1.0,186.97,149.266,1.0,184.952,168.102,1.0,184.666,191.867,1.0,181.62,207.838,1.0,177.471,223.313,1.0
2015,191.807,51.568,1.0,191.128,67.286,1.0,190.958,80.574,1.0,190.974,97.658,1.0,191.042,112.863,1.0,189.683,125.036,1.0,189.365,137.767,1.0,188.418,153.228,1.0,184.094,167.25,1.0,184.792,191.25,1.0,181.538,207.954,1.0,177.135,223.407,1.0
2016,191.912,51.34,1.0,190.85,66.888,1.0,190.761,79.534,1.0,190.616,97.142,1.0,190.462,112.849,1.0,189.525,125.09,1.0,188.675,138.253,1.0,187.939,153.469,1.0,184.561,167.259,1.0,184.53,190.853,1.0,181.622,207.937,1.0,177.791,222.042,1.0
2017,192.046,51.523,1.0,190.966,66.585,1.0,190.774,79.594,1.0,190.533,96.673,1.0,190.614,112.318,1.0,189.636,124.933,1.0,189.022,137.883,1.0,188.069,153.423,1.0,184.49,167.131,1.0,184.434,190.846,1.0,181.396,208.066,1.0,177.768,222.109,1.0
2018,192.078,51.564,1.0,190.926,66.54,1.0,190.814,79.635,1.0,190.602,96.683,1.0,190.724,112.231,1.0,189.895,124.854,1.0,188.95,137.977,1.0,187.105,149.104,1.0,184.507,167.602,1.0,184.439,191.174,1.0,181.374,208.172,1.0,178.108,222.181,1.0
2019,192.022,51.479,1.0,190.972,66.639,1.0,190.667,79.72,1.0,190.451,96.852,1.0,190.84,112.348,1.0,189.791,124.909,1.0,189.042,138.185,1.0,186.944,148.992,1.0,185.076,168.29,1.0,184.841,191.447,1.0,181.961,207.794,1.0,178.905,222.024,1.0
2020,192.046,51.651,1.0,191.059,66.494,1.0,190.806,80.133,1.0,190.825,96.805,1.0,191.062,112.583,1.0,189.733,125.666,1.0,189.186,139.239,1.0,186.916,149.252,1.0,185.054,168.705,1.0,184.699,191.536,1.0,181.964,207.836,1.0,178.772,222.119,1.0
2021,191.886,51.208,1.0,191.018,66.966,1.0,190.724,79.898,1.0,190.709,97.536,1.0,190.798,113.282,1.0,189.683,125.544,1.0,188.928,139.051,1.0,186.799,149.066,1.0,184.929,168.294,1.0,184.602,191.435,1.0,181.716,208.002,1.0,178.74,222.282,1.0
2022,191.977,51.251,1.0,190.985,66.885,1.0,190.67,79.469,1.0,190.464,97.25,1.0,190.695,112.904,1.0,189.404,125.239,1.0,188.856,138.34,1.0,187.957,153.674,1.0,184.538,167.593,1.0,184.39,191.117,1.0,181.386,208.187,1.0,178.189,222.272,1.0
2023,191.986,51.166,1.0,190.948,66.84,1.0,190.588,79.382,1.0,190.347,97.314,1.0,190.593,112.805,1.0,189.447,125.089,1.0,188.799,138.285,1.0,187.904,153.525,1.0,184.166,167.592,1.0,184.156,191.066,1.0,181.053,208.046,1.0,177.608,222.302,1.0
2024,192.052,51.347,1.0,190.926,66.892,1.0,190.7,79.651,1.0,190.518,97.125,1.0,190.455,112.693,1.0,189.447,125.293,1.0,188.814,138.669,1.0,186.622,149.015,1.0,183.885,167.45,1.0,183.855,191.0,1.0,180.954,207.933,1.0,177.516,222.505,1.0
2025,192.159,51.471,1.0,191.002,66.68,1.0,190.826,79.651,1.0,190.539,96.832,1.0,190.671,112.577,1.0,189.534,125.576,1.0,189.198,139.098,1.0,186.885,149.64,1.0,184.595,168.534,1.0,183.889,191.774,1.0,180.966,208.043,1.0,177.689,222.655,1.0
2026,191.985,51.476,1.0,190.998,67.057,1.0,190.652,80.197,1.0,190.592,97.423,1.0,190.594,113.284,1.0,189.57,125.678,1.0,189.36,139.127,1.0,186.838,149.395,1.0,184.998,168.361,1.0,184.584,191.46,1.0,181.397,207.934,1.0,178.057,222.647,1.0
